CNTYVTD,BlacklockR_18G_Sup Ct 2,KirklandD_18G_Sup Ct 2
"0291099",779,1623
"0291100",456,851
"0291101",0,0
"0291102",231,186
"0291103",127,108
"0291104",609,1015
"0291105",78,156
"0291106",0,0
"0291107",437,669
"0291108",1289,1640
"0291109",2,1
"0291110",812,1378
"0291111",936,1508
"0291112",502,1289
"0291113",497,884
"0291114",0,0
"0291115",35,55
"0291116",281,301
"0291117",53,100
"0291118",572,670
"0291119",11,34
"0291120",5,34
"0291121",1142,1483
"0291122A",1000,1243
"0291122B",10,13
"0291122C",19,23
"0291123",116,131
"0291124",93,194
"0291125A",438,569
"0291125B",0,1
"0291125C",9,11
"0291126",0,0
"0291127",39,176
"0291128",201,355
"0291129",97,155
"0291130",0,0
"0291131",0,0
"0291132",0,2
"0291133",1,0
"0291134",0,0
"0291135",0,0
"0291136",53,83
"0291137",0,0
"0291138",55,162
"0291139",129,318
"0291140",197,352
"0291141",318,489
"0291142",231,549
"0291143",651,778
"0291144A",1049,576
"0291144B",65,36
"0291144C",52,28
"0291145",243,173
"0291146",40,34
"0292001",37,206
"0292002",60,372
"0292003",81,577
"0292004",134,767
"0292005",80,365
"0292006",0,5
"0292007",96,502
"0292008",56,300
"0292009",231,590
"0292010",259,427
"0292011",90,593
"0292012",65,405
"0292013",99,407
"0292014",112,403
"0292015",76,490
"0292016",35,335
"0292017",47,284
"0292018",102,431
"0292019",72,464
"0292020",89,713
"0292021",155,749
"0292022",86,421
"0292023",240,1010
"0292024",174,550
"0292025",237,872
"0292026",309,776
"0292027",202,512
"0292028",334,904
"0292029",76,344
"0292030",84,414
"0292031",72,426
"0292032",35,164
"0292033",40,173
"0292034",55,212
"0292035",192,650
"0292036",369,732
"0292037",414,440
"0292038",286,535
"0292039",124,568
"0292040",285,804
"0292041",285,949
"0292042",104,477
"0292043",116,566
"0292044",168,610
"0292045",234,947
"0292046",295,908
"0292047",241,648
"0292048",114,533
"0292049",320,894
"0292050",241,629
