CNTYVTD,BlacklockR_18G_Sup Ct 2,KirklandD_18G_Sup Ct 2
"0730028",300,31
"0730032",390,63
"0730033",715,188
"0730034",707,84
"0730035",457,127
"0730036",823,149
"0730037",132,76
"0730038",115,120
"0730042",110,362
"0730043",290,209
"0730044",690,90
"0730045",271,106
"0730046",358,65
"0730047",170,11
"0730048",316,33
"0750101",342,40
"0750201",419,42
"0750301",326,79
"0750401",440,60
"0770001",398,80
"0770006",189,45
"0770008",378,61
"0770009",236,38
"0770010",146,22
"0770011",440,37
"0770012",162,28
"0770013",77,14
"0770014",93,14
"0770015",166,34
"0770017",499,87
"0770020",249,13
"0770024",164,14
"0770026",102,12
"0770027",221,26
"0770032",134,8
"0790101",129,39
"0790202",193,44
"0790303",35,2
"0790306",104,36
"0790404",62,25
"0810001",311,27
"0810002",339,31
"0810003",287,39
"0810004",220,36
"0830001",707,72
"0830002",515,93
"0830003",554,78
"0830004",739,98
"083002E",210,25
"0850001",904,779
"0850002",1048,1042
"0850003",160,677
"0850004",698,299
"0850005",490,244
"0850006",1698,1527
"0850007",440,383
"0850008",1007,354
"0850009",1666,1156
"0850010",340,80
"0850011",1635,480
"0850012",786,411
"0850013",1782,487
"0850014",672,935
"0850015",437,417
"0850016",1130,468
"0850017",954,585
"0850018",361,92
"0850019",632,422
"0850020",418,131
"0850021",1372,1232
"0850022",1711,397
"0850023",308,865
"0850024",383,767
"0850025",1695,1577
"0850026",467,482
"0850027",841,653
"0850028",768,763
"0850029",675,282
"0850030",1996,1357
"0850031",854,587
"0850032",914,679
"0850033",1588,570
"0850034",1117,1426
"0850035",677,144
"0850036",811,465
"0850037",924,155
"0850038",1873,1952
"0850039",703,907
"0850040",1382,738
"0850041",1606,621
"0850042",656,208
"0850043",1502,1469
"0850044",322,345
"0850045",1013,594
"0850046",563,877
"0850047",776,768
"0850048",1072,1031
"0850049",907,571
"0850050",446,1008
"0850051",274,530
"0850052",634,1376
"0850053",870,605
"0850054",681,976
"0850055",830,1222
"0850056",1992,1209
"0850057",1375,1063
"0850058",964,1012
"0850059",1356,902
"0850060",1057,397
"0850061",666,442
"0850062",717,777
"0850063",854,522
"0850064",780,773
"0850065",382,336
"0850066",646,594
"0850067",801,715
"0850068",567,535
"0850069",1308,1126
"0850070",756,481
"0850071",614,548
"0850072",536,395
"0850073",377,599
"0850074",583,532
"0850075",804,444
"0850076",1207,925
"0850077",912,1115
"0850078",855,869
"0850079",725,672
"0850080",1096,948
"0850081",793,902
"0850082",746,687
"0850083",1856,892
"0850084",769,689
"0850085",829,944
"0850086",954,791
"0850087",1759,1991
"0850088",258,783
"0850089",1485,1541
"0850090",1323,728
"0850091",725,653
"0850092",838,845
"0850093",130,18
"0850094",1191,1308
"0850095",907,890
"0850096",266,315
"0850097",711,231
"0850098",425,256
"0850099",70,71
"0850100",7,3
"0850101",1137,921
"0850102",1161,522
"0850103",274,380
"0850104",346,800
"0850105",412,285
"0850106",609,513
"0850107",1058,1027
"0850108",819,904
"0850109",1288,900
"0850110",921,756
"0850111",1702,1050
"0850112",989,842
"0850113",953,831
"0850114",645,189
"0850115",913,966
"0850116",1677,1259
"0850117",1175,1107
"0850118",1586,915
"0850119",1825,1527
"0850120",1329,833
"0850121",598,1062
"0850122",2082,904
"0850123",725,533
"0850124",852,872
"0850125",1320,1596
"0850126",1430,1140
"0850127",1074,996
"0850128",2353,744
"0850129",1269,967
"0850130",1085,1104
"0850131",2234,1209
"0850132",799,889
"0850133",676,582
"0850134A",1335,1461
"0850134B",4,4
"0850134C",0,0
"0850135",1087,1215
"0850136",704,551
"0850137",716,498
"0850138",575,304
"0850139",1063,1341
"0850140",1916,838
"0850141",1039,967
"0850142",916,900
"0850143",772,456
"0850144",932,704
"0850145",449,491
"0850146",1314,1252
"0850147",516,484
"0850148",0,2
"0850149",1384,992
"0850150",381,242
"0850151",429,503
"0850152",12,34
"0850153",1635,1250
"0850154",492,70
"0850155",885,604
"0850156",1135,871
"0850157",1153,1109
"0850158",671,826
"0850159",1323,1410
"0850160",197,22
"0850161",123,64
"0850162",144,22
"0850163",1124,992
"0850164",492,279
"0850165",386,209
"0850166",1228,1070
"0850167",1231,1544
"0850168",801,330
"0850169",868,872
"0850170",657,358
"0850171",1551,1276
"0850172",1125,586
"0850173",291,127
"0850174",1238,947
"0850175",617,359
"0850176",650,1013
"0850177",1289,1047
"0850178",958,293
"0850179",2458,754
"0850180",182,112
"0850181",546,297
"0850182",1,3
"0850183",47,8
"0850184",0,0
"0850185",19,14
"0850186",53,6
"0850187",240,33
"0850188",34,5
"0850189",358,56
"0850190",35,8
"0850191",161,38
"0850192",753,195
"0850193",382,95
"0850194",13,3
"0850195",426,92
"0850196",600,391
"0850197",298,409
"0850198",58,16
"0850199",662,198
"0850200",2,1
"0850201",2,1
"0850202",5,3
"0850203",1287,614
"0850204",154,77
"0850205",14,3
"0850206",608,318
"0850207",1278,845
"0850208",582,245
"0850209",259,202
"0850210",426,538
"0850211",1801,1516
"0850212",967,1060
"0850213",922,896
"0850214",1703,419
"0850215",680,291
"0850216",1926,772
"0850217",682,368
"0850218",1079,933
"0850219",901,617
"0850220",818,944
"0850221",1800,878
"0850222",868,892
"0850223",701,442
"0850224",2533,845
"0850225",952,1074
"0850226",1241,1138
"0870101",254,40
"0870201",122,22
"0870202",22,2
"0870301",152,22
"0870302",29,2
"0870401",134,24
"0870402",53,8
"0890101",853,317
"0890102",128,36
"0890103",319,51
"0890201",1314,359
"0890202",279,44
"0890302",606,99
"0890303",341,45
"0890304",270,42
"0890305",782,215
"0890401",154,74
"0890402",614,506
"0910101",1669,760
"0910102",1986,443
"0910103",1895,482
"0910104",1059,310
"0910105A",2614,759
"0910105B",45,13
"0910105C",1,0
"0910105D",0,0
"0910106A",2244,479
"0910106B",135,26
"0910107",1118,318
"0910201",1762,837
"0910202A",423,176
"0910202B",45,18
"0910203A",1853,557
"0910203B",53,16
"0910203C",0,0
"0910204",1789,489
"0910205",2720,942
"0910206",2671,687
"0910207",1381,351
"0910208",1044,259
"0910301",870,909
"0910302",1695,1021
"0910303",212,262
"0910304",1227,808
"0910305",869,392
"0910306",511,310
"0910401",950,389
"0910402",2149,749
"0910403",2660,705
"0910404",1764,493
"0910405",1837,486
"0910406",2241,878
"0910407",1533,416
"0930001",670,113
"0930002",639,127
"0930004",42,15
"0930005",292,50
"0930006",201,34
"0930007",136,26
"0930009",98,16
"0930010",183,36
"0930011",244,66
"0930012",804,205
"0930013",114,19
"0930014",61,13
"0930015",237,30
"0930016",57,2
"0950101",217,42
"0950102",48,11
"0950203",94,2
"0950204",50,12
"0950205",64,19
"0950306",137,49
"0950407",62,0
"0950408",122,32
"0970001",490,210
"0970002",77,23
"0970003",213,41
"0970004",213,51
"0970005",468,150
"0970006",273,28
"0970007",712,124
"0970008",422,60
"0970009",719,90
"0970010",1035,180
"0970011",1091,247
"0970012",407,66
"0970014",168,35
"0970015",132,11
"0970017",291,13
"0970018",1084,104
"0970019",230,33
"0970020",256,45
"0970021",765,50
"0970022",1184,179
"0970026",174,66
"0970027",95,35
"0970028",39,14
"0970030",71,41
"0970031",42,26
"0970033",258,35
"0970034",102,110
"0970035",229,136
"0970037",635,180
"0990101",1500,990
"0990102",640,102
"0990103",160,23
"0990104",1198,716
"0990205",1090,227
"0990206",348,347
"0990207",964,718
"0990308",1640,301
"0990309",304,41
"0990310",207,48
"0990311",27,43
"0990412",881,620
"0990413",959,222
"0990414",228,15
"0990415",119,18
"0990416",551,474
"1010101",157,25
"1010201",138,15
"1010301",63,31
"1010401",87,22
"1030001",285,47
"1030002",232,50
"1030003",147,69
"1030004",150,41
"1050001",196,96
"1050002",214,75
"1050003",245,76
"1050004",187,97
"1070011",178,88
"1070027",291,121
"1070039",212,97
"1070044",294,119
"1090001",62,118
"1090002",69,113
"1090004",55,91
"10903-3",14,13
"10903-5",67,96
"1110001",152,15
"1110002",18,0
"1110003",7,0
"1110004",16,1
"1110005",7,0
"1110006",118,16
"1110007",146,37
"1110008",297,43
"1110009",195,34
"1131000",39,248
"1131001",67,287
"1131002",82,451
"1131003",157,1566
"1131004",496,550
"1131005",543,1020
"1131006",734,507
"1131007",201,105
"1131008",253,583
"1131009",86,379
"1131010",180,728
"1131011",51,261
"1131012",98,114
"1131013",949,1472
"1131014",323,884
"1131015",477,1034
"1131016",47,123
"1131017",288,459
"1131018",58,107
"1131019",527,1279
"1131020",364,556
"1131021",388,700
"1131022",619,1833
"1131023",556,813
"1131026",100,261
"1131027",515,1305
"1131028",266,543
"1131029",147,606
"1131030",387,763
"1131032",214,262
"1131033",385,416
"1131035",34,87
"1131036",107,339
"1131037",162,434
"1131038",130,728
"1131039",11,107
"1131040",412,1008
"1131041",32,274
"1131042",33,394
"1131043",770,699
"1131044",863,671
"1131045",138,634
"1131046",57,138
"1131047",219,532
"1131048",883,1004
"1131049",672,814
"1131050",49,55
"1131051",61,92
"1131052",796,1458
"1131054",165,570
"1131055",95,263
"1131056",212,353
"1131057",265,759
"1131058",352,830
"1131059",480,616
"1131060",1203,1879
"1131061",327,631
"1131062",7,10
"1131063",211,618
"1131064",15,53
"1131065A",205,955
"1131065B",0,0
"1131065C",0,0
"1131067",2,3
"1131068",15,15
"1131069",6,30
"1131070",171,751
"1131071A",500,1259
"1131071B",0,0
"1131073",279,1169
"1131074",97,567
"1131075A",265,793
"1131075B",0,0
"1131076",469,932
"1131077",0,0
"1131078",66,425
"1131079",281,722
"1131080",52,255
"1131081",547,1251
"1131082",17,93
"1131083",143,661
"1131084",361,1552
"1131085",81,477
"1131086",41,145
"1131087A",173,1387
"1131087B",0,0
"1131087C",0,0
"1131087D",0,0
"1131088",155,670
"1131089",59,817
"1131090",139,875
"1131091",154,750
"1131092",137,1190
"1131093",56,624
"1131094",45,517
"1131095",79,527
"1131096",66,510
"1131097",184,881
"1131098",91,758
"1131099",2,19
"1131100",64,1102
"1131101",100,557
"1131102",122,620
"1131103",34,168
"1131104",115,901
"1131105",3,20
"1131106",20,89
"1131107",57,262
"1131108",145,857
"1131109",38,150
"1131110",0,12
"1131111",89,448
"1131112",25,241
"1131113",10,104
"1131114",17,242
"1131115",163,552
"1131116",205,482
"1131117",821,943
"1131118",107,602
"1131119",55,732
"1131120",296,657
"1131121",236,770
"1131122",25,158
"1131124",0,2
"1131125",310,563
"1131126",58,297
"1131127",44,224
"1131128",372,143
"1131129",3,51
"1131130",153,555
"1131131",166,534
"1131132",5,15
"1131133",101,135
"1131134",16,170
"1131135",66,558
"1131136",0,2
"1131137",7,11
"1131138",0,0
"1131139",3,2
"1131140",0,0
"1131141A",0,0
"1131141B",0,0
"1131300",574,715
"1131301",545,752
"1131302",441,775
"1131303",4,36
"1131304",338,445
"1131305",286,441
"1131307",1,68
"1131308A",319,534
"1131308B",0,0
"1131309",9,115
"1131310",558,805
"1131311",627,664
"1131312",210,263
"1131313",27,149
"1131314",311,737
"1131315",5,3
"1131316",80,255
"1131317",0,0
"1131500",434,856
"1131501",593,823
"1131502",728,1346
"1131503",342,987
"1131504",617,716
"1131700",360,640
"1131701",419,553
"1131702",543,853
"1131703",454,882
"1131704",257,446
"1131705",387,640
"1131706",440,884
"1131707",47,153
"1131708",124,189
"1131709",377,1308
"1131710",73,583
"1131711",325,666
"1131712A",592,539
"1131712B",0,0
"1131713",314,248
"1131714",447,545
"1131715",197,506
"1131716",836,548
"1131717",655,1041
"1131718",470,393
"1131719",482,864
"1131720",656,878
"1131721",636,642
"1131722",471,960
"1131723",25,60
"1131724",11,42
"1131725",213,122
"1131726",453,552
"1131727",45,73
"1131728",311,404
"1131729",236,495
"1131730",0,0
"1131731",0,0
"1132000",1,0
"1132001",3,11
"1132002",364,472
"1132003",1014,938
"1132004",738,504
"1132005",325,374
"1132006",608,473
"1132007",1306,841
"1132008",657,450
"1132009",684,752
"1132010",519,493
"1132011",838,602
"1132012",634,566
"1132013",554,334
"1132014",253,124
"1132015",340,357
"1132016",1488,942
"1132017",300,595
"1132018",365,254
"1132019",721,539
"1132020",765,990
"1132021",1682,928
"1132022",280,243
"1132023",455,439
"1132024",510,533
"1132025",1170,699
"1132026",1446,680
"1132027",782,398
"1132028A",0,0
"1132028B",0,0
"1132029",851,378
"1132030",1040,331
"1132031",825,1345
"1132032",391,721
"1132033",582,737
"1132034",665,451
"1132035",407,586
"1132036",894,776
"1132037",312,337
"1132038",923,1278
"1132039",750,1148
"1132040",606,602
"1132041",1661,1218
"1132042",981,1134
"1132043",715,798
"1132044",346,346
"1132045",611,714
"1132046",749,559
"1132047",871,759
"1132048",865,1347
"1132049",526,564
"1132050",552,544
"1132051",923,798
"1132052",675,341
"1132053",372,930
"1132054",359,1005
"1132055",194,477
"1132056",550,376
"1132057",219,154
"1132058",358,396
"1132059",496,352
"1132060",1148,729
"1132061",1037,934
"1132062",818,725
"1132063",308,220
"1132064",610,722
"1132065",680,1052
"1132066",665,432
"1132067",415,517
"1132068",601,989
"1132069",997,1088
"1132070",467,504
"1132071",743,701
"1132072",913,1137
"1132073",289,452
"1132074",72,187
"1132076",0,0
"1132077",450,423
"1132078",0,0
"1132079",196,712
"1132200",978,380
"1132201",876,385
"1132202",980,389
"1132203",754,368
"1132220",1006,258
"1132221",1874,571
"1132222",1575,508
"1132223",716,412
"1132224",571,593
"1132225",843,355
"1132226",1342,550
"1132300",262,525
"1132301",966,623
"1132302",214,657
"1132303",646,827
"1132305",1036,1150
"1132306",398,451
"1132307",202,233
"1132308",53,119
"1132309",175,328
"1132310",740,630
"1132311",69,142
"1132312",5,25
"1132400",69,22
"1132401",1088,1055
"1132402",840,1014
"1132403",2,0
"1132404",392,669
"1132405",1205,1031
"1132406",765,1140
"1132407",874,1232
"1132408",274,515
"1132409",350,809
"1132410",335,591
"1132411",91,263
"1132500",679,999
"1132501",582,402
"1132502",890,455
"1132503",1193,726
"1132504",455,410
"1132505",771,1008
"1132506",830,688
"1132507",816,679
"1132508",618,1115
"1132509",1067,887
"1132510",490,575
"1132511",638,628
"1132512",468,470
"1132513",704,961
"1132514",813,836
"1132601",330,783
"1132602",496,1147
"1132603",560,1254
"1132604",535,1097
"1132605",382,1068
"1132606",0,0
"1132700",809,1099
"1132701",1323,1236
"1132702",2084,1162
"1132703",249,367
"1132704",642,1118
"1132705",379,719
"1132706",804,772
"1132707",812,977
"1132708",1327,1276
"1132709",436,345
"1132710",629,760
"1132711",636,771
"1132712",855,1346
"1132713",797,413
"1132714",1112,1459
"1132715",705,906
"1132716",320,536
"1132717",2,0
"1132800",0,0
"1132801",1340,866
"1132802",1638,1177
"1132803",635,298
"1132804",898,654
"1132805",1442,1237
"1132806",895,716
"1132807A",817,701
"1132807B",0,0
"1132808",1070,824
"1132809",779,932
"1132810A",13,2
"1132810B",0,0
"1132900",1034,876
"1132901",236,558
"1132902",384,745
"1132903",504,771
"1132904",2,1
"1132905",220,123
"1132910",13,11
"1132911",69,73
"1132920",1009,1022
"1132921",1387,1148
"1132922",1800,1515
"1132923",1076,954
"1132924",585,576
"1132925",1294,727
"1132926",622,543
"1132927",1555,1548
"1132928",1288,603
"1132929",415,349
"1132940",677,283
"1132941",1620,1119
"1132942",1743,1097
"1133000",874,1250
"1133001",12,175
"1133002",60,585
"1133003",100,905
"1133004",195,1040
"1133005",89,169
"1133006",1038,1128
"1133007",369,382
"1133008A",973,2706
"1133008B",0,0
"1133009",430,1099
"1133010",110,100
"1133011",137,709
"1133012",12,51
"1133013",62,230
"1133014",268,514
"1133015",45,62
"1133016A",142,716
"1133016B",0,0
"1133017",16,282
"1133018",31,678
"1133019",9,257
"1133020",16,109
"1133021",9,320
"1133022",17,540
"1133023",13,498
"1133024",19,526
"1133025",3,51
"1133026",9,278
"1133027",17,501
"1133028",13,410
"1133029",11,301
"1133030",3,6
"1133031",68,193
"1133032",43,466
"1133033",7,134
"1133034",20,546
"1133035",25,501
"1133036",3,2
"1133037",6,165
"1133038",3,395
"1133039",35,930
"1133040",14,419
"1133041",1,41
"1133042",17,540
"1133043",16,712
"1133044",31,880
"1133045",11,248
"1133046",155,1049
"1133047",225,529
"1133048",36,1095
"1133049",25,818
"1133050",35,674
"1133051",16,316
"1133052",34,911
"1133053",64,916
"1133054",73,1418
"1133055",106,1337
"1133056",65,1309
"1133057",81,1165
"1133058",30,1055
"1133059",13,672
"1133060",18,721
"1133061",10,542
"1133062",33,918
"1133063",84,1563
"1133064",30,1264
"1133065",35,1016
"1133066",34,799
"1133067",35,890
"1133068",69,1637
"1133069",22,712
"1133070",39,1311
"1133071",39,1088
"1133072",3,17
"1133073",4,66
"1133074",36,234
"1133075",11,73
"1133076",0,0
"1133077",368,1479
"1133078",176,1098
"1133079",85,161
"1133080",148,383
"1133081",398,577
"1133082",71,933
"1133083",162,464
"1133084",111,589
"1133086",835,1192
"1133087",0,0
"1133088",8,25
"1133089",7,9
"1133090",210,692
"1133091",0,0
"1133092",36,658
"1133093",0,9
"1133094",0,0
"1133095",0,0
"1133096",0,0
"1133097",0,77
"1133098",2,104
"1133099",5,122
"1133100",320,1029
"1133101",130,357
"1133102",241,1221
"1133103",291,1500
"1133104",586,2266
"1133105",420,1072
"1133106",305,1649
"1133107",190,1271
"1133108",656,742
"1133109",1019,1209
"1133110",235,1499
"1133111",5,20
"1133112",4,12
"1133113",0,4
"1133200",685,765
"1133201",475,574
"1133202",302,963
"1133203",360,844
"1133204",468,882
"1133205",98,869
"1133206",702,817
"1133207",610,891
"1133208",314,649
"1133209",65,52
"1133210",468,676
"1133211",145,454
"1133300",773,793
"1133301",791,761
"1133302",378,438
"1133303",426,950
"1133304",716,785
"1133305",973,1220
"1133306",292,471
"1133307",313,579
"1133308",368,566
"1133309",528,659
"1133310",607,659
"1133311",584,606
"1133312",765,1076
"1133313",881,2021
"1133314",648,1495
"1133315",242,437
"1133316",639,873
"1133317",291,689
"1133318",336,553
"1133400",53,258
"1133401",1,1
"1133402",46,133
"1133404",263,677
"1133405",382,989
"1133406",13,4
"1133407",86,88
"1133408",211,659
"1133409",84,193
"1133410",40,97
"1133411",1,1
"1133500",2133,1012
"1133501",5,1
"1133600",241,1043
"1133601",280,1082
"1133602",78,352
"1133603",52,146
"1133604",335,1355
"1133605",251,1455
"1133606",136,1305
"1133607",283,2356
"1133608",114,1721
"1133609",318,1586
"1133610",95,223
"1133611",187,483
"1133612",247,1656
"1133613",102,275
"1133614",54,433
"1133615",145,1297
"1133616",36,322
"1133617",90,1328
"1133618",23,210
"1133619",26,72
"1133620",75,606
"1133621",0,0
"1133700",850,1403
"1133701",948,1285
"1133702",578,751
"1133703",22,9
"1133800",123,2303
"1133801",27,145
"1133802",219,1927
"1133803",138,1785
"1133805",143,2497
"1133806",31,493
"1133807",183,1131
"1133808",683,1503
"1133809",39,145
"1133900",444,2608
"1133920",684,498
"1133921",962,1086
"1133922",5,34
"1133940A",274,648
"1133940B",0,0
"1133950",198,684
"1134000A",51,153
"1134000B",0,0
"1134000C",0,0
"1134001A",110,485
"1134001B",0,0
"1134001C",0,0
"1134002",245,401
"1134003A",18,103
"1134003B",0,0
"1134004",224,672
"1134005",168,336
"1134006A",269,499
"1134006B",0,0
"1134007",57,77
"1134008",28,197
"1134009",78,632
"1134010",316,512
"1134011",96,332
"1134012",18,29
"1134013",112,115
"1134014",735,576
"1134015",172,759
"1134016",201,822
"1134017",85,202
"1134018",274,473
"1134019",220,1112
"1134020",94,417
"1134021",380,2098
"1134022",218,1277
"1134023",1,0
"1134024",90,727
"1134025",6,129
"1134026",3,60
"1134027",16,109
"1134028",16,366
"1134029",1,2
"1134030",1,26
"1134031",56,786
"1134032",385,1483
"1134033",283,906
"1134035",82,537
"1134036",28,326
"1134037",11,82
"1134038",85,913
"1134039",9,229
"1134040",12,299
"1134041",17,301
"1134043",54,556
"1134044",24,423
"1134046",24,465
"1134047",16,340
"1134048",10,2
"1134049",0,0
"1134050",527,1821
"1134051",0,0
"1134052",536,1783
"1134053",39,172
"1134054",23,179
"1134055",200,934
"1134056",123,1025
"1134057",108,645
"1134058",56,404
"1134059",26,158
"1134060",123,820
"1134061",151,859
"1134062",112,679
"1134063",231,1254
"1134065",83,357
"1134066",75,338
"1134067",139,774
"1134068",136,740
"1134069",222,1195
"1134070",81,612
"1134071",14,157
"1134072",13,101
"1134073",173,722
"1134074",281,1323
"1134075",66,386
"1134076",191,1004
"1134077",92,512
"1134078",124,719
"1134079",705,2054
"1134080",185,317
"1134081",174,1123
"1134082",48,371
"1134083",105,508
"1134084",22,233
"1134085",57,368
"1134086",158,981
"1134087A",54,314
"1134087B",0,0
"1134088",14,136
"1134090",12,20
"1134091A",0,0
"1134091B",0,0
"1134091C",0,0
"1134092",33,66
"1134093",0,28
"1134094",88,202
"1134095",9,19
"1134096",3,2
"1134097A",132,405
"1134097B",0,0
"1134098",15,20
"1134099",396,302
"1134100",3,12
"1134101",3,34
"1134102",81,101
"1134103",20,72
"1134104",2,11
"1134105",1,7
"1134106",44,56
"1134107",0,26
"1134108",0,23
"1134109",1,18
"1134110",14,387
"1134111",30,99
"1134112",46,16
"1134113",131,752
"1134114",87,633
"1134115",75,159
"1134116",0,0
"1134117",3,11
"1134118",2,5
"1134119",1,1
"1134120",22,207
"1134121",0,0
"1134122",0,0
"1134123",0,0
"1134124",0,0
"1134125",0,0
"1134300",134,529
"1134500",500,847
"1134501",512,713
"1134502",673,1260
"1134503",600,1586
"1134504",264,457
"1134505",413,605
"1134506",267,400
"1134507",40,422
"1134508",88,183
"1134509",392,356
"1134510",294,613
"1134511",302,475
"1134512",308,291
"1134513",326,713
"1134514",330,331
"1134515",219,607
"1134516",3,9
"1134517",1029,821
"1134518A",348,557
"1134518B",0,0
"1134519",757,1148
"1134520",106,307
"1134521",1003,1269
"1134522",593,1137
"1134523",121,209
"1134525",211,449
"1134527",191,473
"1134528",0,0
"1134529",172,254
"1134530",12,89
"1134531",162,131
"1134532",61,79
"1134533",160,362
"1134534",7,34
"1134535",97,256
"1134536",7,18
"1134537",2,3
"1134538",113,284
"1134539",0,0
"1134540",0,0
"1134541",0,0
"1134542",0,0
"1134600",592,637
"1134601",1008,992
"1134602",465,570
"1134603",7,16
"1134604",625,816
"1134605",563,668
"1134606",618,809
"1134607",263,524
"1134608A",577,1076
"1134608B",0,0
"1134609",196,640
"1134610",629,613
"1134611",359,472
"1134612",98,87
"1134613A",76,239
"1134613B",0,0
"1134614",203,103
"1134615",38,74
"1134616",196,345
"1134617",50,53
"1134618",108,148
"1134619",431,335
"1134620",422,468
"1134621",381,1451
"1134622",402,657
"1134623",451,776
"1134624",432,474
"1134625",634,601
"1134626",846,749
"1134627A",988,1429
"1134627B",0,0
"1134628",170,704
"1134629",192,422
"1134630",439,463
"1134631",372,371
"1134632",235,683
"1134633",118,292
"1134634",816,967
"1134635",222,583
"1134636",0,6
"1134637",678,1292
"1134639",87,215
"1134640",352,942
"1134641",113,168
"1134642",33,40
"1134644",36,130
"1134645",3,2
"1134646",113,111
"1134647",1035,1127
"1134648",219,689
"1134649",7,37
"1134650",0,0
"1134651",4,18
"1134652",112,262
"1134653",7,16
"1134654",200,321
"1134655",33,6
"1134656",13,40
"1134657",6,32
"1134658",17,22
"1134659",35,96
"1134660",9,16
"1134661",103,292
"1134662",38,79
"1134663",0,0
"1134664",419,638
"1150001",362,151
"1150002",413,211
"1150003",601,189
"1150004",527,173
"1150005",71,17
"1150011",65,11
"1150012",27,4
"1150013",53,6
"1150017",41,6
"1170001",417,194
"1170002",405,265
"1170003",1349,322
"1170004",478,264
"1190001",387,55
"1190003",154,60
"1190004",225,54
"1190005",344,74
"1190007",120,24
"1190009",149,13
"1190010",171,57
"1211000",1431,278
"1211001",688,183
"1211002",1850,620
"1211003",1539,381
"1211004A",1181,934
"1211004B",0,0
"1211005",1139,294
"1211006",1421,1007
"1211007",1435,1123
"1211008",641,180
"1211009",678,768
"1211010",878,677
"1211011",647,973
"1211012",877,968
"1211013",818,761
"1211014",31,99
"1211015",1005,756
"1211016",1135,726
"1211017",552,334
"1211018",1664,1249
"1211019",743,744
"1211020",1846,847
"1211021",1301,688
"1211022",1223,745
"1211023",1394,728
"1211024A",1024,355
"1211024B",6,2
"1211025",1538,746
"1211026",1240,1832
"1211027A",104,107
"1211027B",168,205
"1211028",615,746
"1211029",1532,1326
"1211030",1745,944
"1211031",977,566
"1211032A",1727,1193
"1211032B",14,10
"1211033",1160,1165
"1211034",1531,1140
"1211035",1743,998
"1211036",2794,1294
"1211037",338,112
"1211038",74,113
"1211039",4,0
"1211040",1085,583
"1211041",750,806
"1211042",82,10
"1211043",93,42
"1211044",1192,1006
"1211045",788,148
"1211046",1274,1047
"1211047",212,125
"1211048",351,105
"1211049",56,73
"1211050",828,557
"1211051",833,497
"1211052",937,712
"1212000",453,1310
"1212001",480,1302
"1212002",796,1593
"1212003",474,670
"1212004",817,1175
"1212005",1458,1227
"1212006",1004,944
"1212007",729,1317
"1212008",899,1132
"1212009",724,719
"1212010",1308,1228
"1212011",881,963
"1212012",813,369
"1212013",609,470
"1212014",1010,713
"1212015",1123,1077
"1212016",1048,1068
"1212017",2202,1324
"1212018",671,984
"1212019",0,0
"1212020A",649,322
"1212020B",1222,608
"1212021",1053,1096
"1212022",1049,652
"1212023",1095,1043
"1212024",625,558
"1212025",692,512
"1212026",1282,854
"1212027",1261,827
"1212028",953,1097
"1212029",615,634
"1212030",1330,1454
"1212031",996,1014
"1212032A",394,377
"1212032B",250,239
"1212032C",6,6
"1212033",712,1024
"1212034",449,756
"1212035",798,878
"1212096",0,0
"1212097",0,0
"1212099",0,0
"1213000",1479,914
"1213001",1444,622
"1213002",2017,899
"1213003",1067,562
"1213004",1417,624
"1213005",977,406
"1213006",1340,952
"1213007",1161,1247
"1213008",1070,712
"1213009",857,641
"1213010",1216,1203
"1213011",907,1285
"1213012",583,501
"1213013",804,675
"1213014",636,615
"1213015",564,713
"1213016A",381,655
"1213016B",0,0
"1213017",437,1175
"1213018",268,322
"1213019",937,1453
"1213020",124,201
"1213021",1204,1199
"1213022",82,50
"1213023",147,114
"1213024",1223,781
"1213025",1553,883
"1213026",981,628
"1213027",1684,1028
"1213028",1679,984
"1213029",871,627
"1213030",994,561
"1213031",1377,713
"1213032",288,605
"1213033",878,495
"1213098",0,0
"1213099",0,0
"1214000",1896,584
"1214001",667,201
"1214002",1723,412
"1214003",2558,703
"1214004",209,932
"1214005",749,826
"1214006",527,958
"1214007",430,1247
"1214008",241,772
"1214009",512,1463
"1214010",437,676
"1214011",725,1915
"1214012",800,669
"1214013",46,179
"1214014",111,878
"1214015",119,291
"1214016",1,1
"1214017",2189,503
"1214018",1029,375
"1214019",110,42
"1214020",515,142
"1214021",954,206
"1214022",1301,407
"1214023A",1492,573
"1214023B",0,0
"1214024",1335,652
"1214025",1281,894
"1214026",593,428
"1214027",1477,965
"1214028",1999,697
"1214029",406,130
"1214030",212,86
"1214031",2061,684
"1214032",2348,890
"1214033",1054,437
"1214034",1486,756
"1214035",1819,686
"1214036",1500,342
"1214037",372,773
"1214038",115,57
"1214039",153,1047
"1214040",362,431
"1214041",561,597
"1214042",15,7
"1214043",1320,479
"1214044",1519,533
"1214045",367,2122
"1214046A",1390,595
"1214046B",4,2
"1214046C",21,9
"1214046D",1,0
"1214047",858,416
"1214048",1526,706
"1214049",811,203
"1230101",675,128
"1230102",148,223
"1230201",230,34
"1230202",463,107
"1230203",444,64
"1230301",675,99
"1230302",502,100
"1230303",184,49
"1230401",969,244
"1230402",631,69
"1250001",61,9
"1250002",54,5
"1250003A",151,17
"1250003B",22,3
"1250004A",78,27
"1250004B",4,1
"1250005",111,11
"1250006",155,30
"1270001",245,432
"1270002",164,486
"1270003",52,127
"1270004",29,32
"1270005",71,373
"1270006",135,280
"1270007",70,188
