CNTYVTD,PatrickR_18G_Lt. Governor,CollierD_18G_Lt. Governor,McKennonL_18G_Lt. Governor
"0293048",472,570,24
"0293049",816,659,27
"0293050",386,310,13
"0293051",156,92,11
"0293052",1464,1161,44
"0293053",605,531,21
"0293054",386,557,25
"0293055",1309,477,44
"0293056",367,604,33
"0293057",196,175,8
"0293058",643,1021,52
"0293059",523,435,15
"0293060",524,601,37
"0293061",446,565,28
"0293062",14,11,1
"0293063",595,608,25
"0293064",120,152,7
"0293065",9,26,0
"0293066",582,618,19
"0293067",525,489,30
"0293068",356,829,39
"0293069",984,1023,49
"0293070",884,817,30
"0293071",575,818,36
"0293072",1305,922,30
"0293073",447,532,14
"0293074",883,776,56
"0293075",1350,781,43
"0293076",608,363,16
"0293077",853,754,30
"0293078",951,799,43
"0293079",1109,903,38
"0293080",372,318,16
"0293081",676,671,27
"0293082",662,686,28
"0293083",537,410,26
"0293084",942,822,51
"0293085",377,378,18
"0293086",620,542,15
"0293087",539,371,22
"0293088",1111,813,33
"0293089",1956,811,53
"0293090",973,812,54
"0293091",443,187,16
"0293092",1236,609,33
"0293093",1627,1102,45
"0293094",1221,815,31
"0293095",438,843,45
"0293096A",1216,845,46
"0293096B",0,0,0
"0293097",4,0,0
"0293098",413,372,24
"0293099",1022,908,57
"0293100",812,853,36
"0293101",804,734,32
"0293102",1092,835,52
"0293103",143,205,6
"0293104",909,736,39
"0293105",919,795,42
"0293106",696,380,18
"0293107",300,550,27
"0293108",608,374,20
"0293109",619,859,42
"0293110",815,849,45
"0293111",0,2,0
"0293112",243,499,28
"0293113",165,341,20
"0293114",1017,496,34
"0293115",723,575,22
"0293116",407,489,21
"0293117",1073,864,55
"0293118",277,293,13
"0293119",990,1097,59
"0293120",844,924,52
"0293121",1283,1123,60
"0293122",719,611,23
"0293123",202,117,6
"0293124",1008,777,31
"0293125A",1226,753,44
"0293125B",2,1,0
"0293126",629,403,22
"0293127",832,1047,56
"0293128",18,20,4
"0293129",745,1015,47
"0293130",763,438,21
"0293131",0,3,0
"0293132",228,416,14
"0293133",0,0,0
"0293134",425,1032,39
"0293135",213,307,9
"0293136",149,158,10
"0293137",1325,1084,51
"0293138",31,6,0
"0293139",307,443,31
"0293140",88,146,4
"0293141",303,420,26
"0293142",57,110,5
"0293143",404,469,22
"0293144",62,78,3
"0293145",985,798,40
"0293146",742,1075,55
"0293147",652,800,32
"0293148",445,292,11
"0293149",268,1263,46
"0293150",8,8,0
"0293151",1490,1323,66
"0293152",248,509,32
"0293153",462,449,15
"0293154",668,415,26
"0293155",808,594,35
"0293156",9,7,1
"0293157",897,782,37
"0293158A",18,13,0
"0293158B",6,3,0
"0293159",414,579,30
"0293160",512,370,23
"0293161",540,763,19
"0293162",278,370,27
"0293163",891,635,39
"0293164",742,418,30
"0293165",1192,947,49
"0293166",130,176,10
"0293167",4,2,0
"0293168",209,261,13
"0293169",50,30,0
"0293170",0,0,0
"0293171",0,1,0
"0293172",112,167,4
"0293173",1100,902,39
"0293174",1623,984,59
"0293175",179,203,10
"0293176",19,19,0
"0293178",0,0,0
"0293179",2,0,0
"0293180",272,362,25
"0293181",784,485,27
"0293182",255,259,6
"0293183",9,1,0
"0293184",59,42,2
"0293185A",71,57,4
"0293185B",17,13,0
"0293186",1,0,0
"0293187",0,0,0
"0293188A",0,0,0
"0293188B",0,0,0
"0293189",274,333,9
"0293190",0,0,0
"0293191",77,49,3
"0293193",68,54,1
"0293194",1325,727,44
"0293195",258,838,32
"0293196",5,4,0
"0293198",199,197,8
"0293199",1058,715,29
"0293201",1526,813,41
"0293202",343,232,8
"0293203",186,106,11
"0293204",0,0,0
"0293205",0,0,0
"0293206",6,53,1
"0293207",0,3,1
"0293208",12,28,1
"0294001",385,929,39
"0294002",53,257,3
"0294003",70,344,9
"0294004",102,300,9
"0294005",125,612,21
"0294006",45,226,8
"0294007",178,181,12
"0294008",178,243,13
"0294009",56,240,6
"0294010",32,326,9
"0294011",53,388,7
"0294012",47,200,7
"0294013",91,284,8
"0294014",31,126,3
"0294015",142,628,22
"0294016",230,781,32
"0294017",203,885,34
"0294018",154,507,19
"0294019",279,671,25
"0294020",191,339,15
"0294021",215,298,12
"0294022",29,26,1
"0294023",421,636,24
"0294024",406,760,25
"0294025",153,341,11
"0294026",353,957,42
"0294027",214,502,9
"0294028",262,845,18
"0294029",133,663,16
"0294030",14,116,1
"0294031",181,491,13
"0294032",270,506,13
"0294033",483,888,25
"0294034",269,484,17
"0294035",6,14,0
"0294036",219,911,28
"0294037",63,500,6
"0294038",644,1055,62
"0294039",43,424,11
"0294040",77,402,5
"0294041",103,640,14
"0294042",24,23,0
"0294043",504,834,39
"0294044",224,357,12
"0294045",420,665,20
"0294046",715,719,35
"0294047",361,690,25
"0294048",150,533,7
"0294049",312,603,29
"0294050",515,377,20
"0294051",644,470,30
"0294052",609,534,25
"0294053",364,539,16
"0294054",807,996,43
"0294055",429,319,20
"0294056",750,722,36
"0294057",699,397,15
"0294058",601,360,22
"0294059",553,564,24
"0294060",368,502,20
"0294061",273,555,20
"0294062",91,196,7
"0294063",130,212,10
"0294064",517,548,19
"0294065",394,1057,42
"0294066",525,913,46
"0294067",321,390,11
"0294068",73,134,6
"0294069",386,202,10
"0294070",437,1018,30
"0294071",727,158,19
"0294072",1160,432,31
"0294073",383,320,28
"0294074",477,381,14
"0294075",62,229,4
"0294076",361,764,19
"0294077",466,786,17
"0294078",527,155,15
"0294079",411,315,20
"0294080",306,557,22
"0294081",112,76,6
"0294082",94,507,12
"0294083",142,191,8
"0294084",44,129,5
"0294085",10,1,0
"0294086",130,81,8
"0294087",410,609,21
"0294088",542,1034,26
"0294089",632,735,32
"0294090",461,502,38
"0294091",172,344,16
"0294092",501,395,23
"0294093",538,627,32
"0294094",456,460,19
"0294095",423,432,22
"0294096",374,613,27
"0294097",377,433,27
"0294098",365,422,19
"0294099",214,329,12
"0294100",193,260,17
"0294101",294,190,4
"0294102",89,207,10
"0294103",0,0,0
"0294104",391,456,16
"0294105",548,457,27
"0294106",47,115,2
"0294107",345,366,7
"0294108",730,806,54
"0294109",143,233,8
"0294110",128,462,25
"0294111",10,108,0
"0294112",322,225,11
"0294113",54,242,7
"0294114A",11,10,0
"0294114B",1,1,0
"0294115",61,46,4
"0294116",17,12,1
"0294117",145,162,11
"0294118",40,5,0
"0294119",63,261,11
"0294120",29,53,2
"0294121",54,35,3
"0294122",8,43,1
"0294123",16,57,0
"0294124",185,557,14
"0294125",9,23,1
"0294126",436,260,12
"0294127",10,12,0
"0294128",30,63,3
"0294129",34,13,1
"0294130",157,189,14
"0294131",54,98,4
"0294132",403,690,27
"0294133",15,2,0
"0294134",2,2,0
"0294135",0,0,0
"0294136",127,56,3
"0294137",48,8,0
"0294138",2,2,0
"0294139",0,0,0
"0294140",0,0,0
"0294141",14,77,2
"0294142",38,188,3
"0294143",405,1101,39
"0294144",195,98,6
"0294145",5,1,0
"0294146",7,10,0
"0294147",60,84,8
"0294148",38,50,2
"0294149",61,106,6
"0294150",246,476,17
"0294151",225,66,2
"0294152",361,511,24
"0294153",27,24,1
"0294154",152,199,6
"0294155",275,1037,37
"0294156",116,317,10
"0294157",163,644,23
"0294158",80,156,10
"0294159",4,3,0
"0294160",208,506,14
"0294161",22,181,3
"0294162",481,547,30
"0294163",327,625,28
"0294164",758,509,26
"0294165",35,19,0
"0294166",45,69,4
"0294167",5,7,1
"0294168",309,603,20
"0294169",108,83,5
"0294170",66,96,5
"0294171",356,320,15
"0294172",275,289,8
"0294173",410,432,26
"0294174",250,341,27
"0294175",0,0,0
"0294176",289,255,10
"0294177",1,18,0
"0294178",0,2,0
"0294179",766,743,41
"0294180",2,0,0
"0294181",0,0,0
"0294182",1,0,0
"0294183",12,41,2
"0294184",0,9,1
"0294185",2,0,0
"0294186",9,49,2
"0294187",0,0,0
"0294188",0,1,0
"0294189",103,254,9
"0294190",0,2,0
"0294191",0,0,0
"0294192",0,0,0
"0294193",7,11,1
"0294194",140,154,10
"0294195",0,0,0
"0294196",0,0,0
"0294198",215,500,21
"0294199",187,294,21
"0294200",389,804,30
"0294201",6,2,0
"0294202",0,0,0
"0294203",39,147,8
"0294204",1,2,0
"0294205",28,29,1
"0294206",88,116,4
"0294207",13,2,0
"0294208",0,0,0
"0294209",23,4,0
"0294210",1,3,2
"0294211",0,20,0
"0294212",2,0,0
"0310102",1026,335,38
"0310201",1048,394,42
"0310302",511,274,22
"0310303",274,89,9
"0310304",134,58,2
"0310401",1073,429,31
"0330004",73,12,0
"033001A",31,10,0
"033001B",45,9,2
"033002A",67,7,0
"033002B",26,3,0
"033003A",14,2,0
"033003B",34,1,0
"0350001",350,77,9
"0350002",349,101,8
"0350003",497,119,11
"0350004",258,44,5
"0350005",683,179,21
"0350006",569,150,15
"0350007",344,82,13
"0350008",1015,314,33
"0350009",440,113,9
"0350010",600,182,12
"0350011",406,96,14
"0370007",1188,691,32
"0370009",837,451,18
"0370010",904,227,14
"0370011",1194,213,23
"0370012",1016,266,22
"0370013",65,23,1
"0370014",1050,508,28
"0370015",253,54,5
"0370016",619,117,4
"0370017",697,175,10
"0370018",926,299,24
"0370019",377,49,4
"037001A",56,368,10
"037001B",121,364,6
"0370020",199,133,2
"0370021",113,31,2
"0370022",153,45,0
"0370024",225,71,8
"0370025",509,154,18
"0370027",306,47,6
"0370028",362,69,8
"0370029",161,22,4
"037002A",116,349,3
"037002B",74,100,4
"037002C",56,383,12
"037002D",13,17,1
"0370030",529,189,12
"037003A",489,266,11
"037003B",138,215,7
"037004A",164,223,7
"037004B",536,289,20
"037004C",101,141,3
"037004D",6,8,0
"037004E",0,0,0
"037005A",43,57,1
"037005B",0,0,0
"037005C",1901,582,42
"037006A",882,305,18
"037006B",959,278,33
"037008A",132,236,2
"037008B",1164,382,26
"037008C",524,146,8
"0390001",1271,601,53
"0390002",1495,541,43
"0390003",1769,571,59
"0390004",1298,378,26
"0390005",744,266,10
"0390006",636,101,10
"0390007",310,534,16
"0390008",445,118,8
"0390009",278,155,5
"0390010",437,74,7
"0390011",1003,630,40
"0390012",1130,698,45
"0390013",1439,1005,45
"0390014",2002,663,38
"0390015",1157,191,30
"0390016",1501,608,46
"0390017",468,541,23
"0390019",356,415,21
"0390020",641,163,16
"0390021",1044,1277,44
"0390022",1732,551,71
"0390023",1459,609,59
"0390024",1730,607,49
"0390025",754,253,24
"0390026",1054,867,31
"0390027",796,683,15
"0390028",2018,1333,64
"0390029",756,1247,33
"0390030",1417,356,56
"0390031",502,114,13
"0390032",1107,279,25
"0390033",741,327,20
"0390034",1628,547,47
"0390035",771,163,6
"0390036",1565,983,60
"0390038",323,103,14
"0390039",1260,612,44
"0390040",1971,1083,45
"0390042",212,111,7
"0390043",1497,662,65
"0390044",1427,1882,66
"0390045",1309,564,64
"0390046",895,415,31
"0390047",832,563,42
"0390048",828,473,28
"0390049",746,150,17
"0390050",1257,2859,92
"0390051",1568,543,39
"0390052",1158,560,36
"0390053",282,854,24
"0390054",654,1062,37
"0390055",1128,498,29
"0390056",1593,754,56
"0390057",1326,359,23
"0390058",495,637,22
"0390059",932,2249,56
"0390060",1488,1587,73
"0390061",2258,992,77
"0390062",866,1266,36
"0390063",508,1578,50
"0390064",15,5,0
"0390067",563,1395,41
"0390068",652,1240,41
"0410001",940,266,31
"0410002",2352,862,84
"0410003",318,183,10
"0410004",70,512,9
"0410005",828,222,16
"0410006",486,91,6
"0410007",847,179,24
"0410008",352,461,45
"0410009",395,371,18
"0410010",1182,829,81
"0410011",598,753,69
"0410012",1465,971,109
"0410013",793,516,42
"0410014",269,650,20
"0410015",1193,610,51
"0410016",102,319,15
"0410017",615,778,61
"0410018",31,183,8
"0410019",58,60,3
"0410020",840,1160,72
"0410021",299,496,32
"0410022",58,96,5
"0410023",50,9,0
"0410024",652,619,46
"0410025",45,341,6
"0410026",1212,572,51
"0410027",1589,393,71
"0410028",201,32,5
"0410029",322,192,10
"0410030",455,549,32
"0410031",1187,1109,98
"0410032",0,0,0
"0410033",232,428,26
"0410034",889,1162,102
"0410035",1402,2034,140
"0410036",949,871,71
"0410037",94,10,4
"0410038",7,100,0
"0410039",1435,1150,90
"0410040",1880,1149,94
"0410041",2136,944,67
"0410042",0,0,0
"0410043",4,9,1
"0410044",55,9,1
"0410045",46,15,1
"0410046",98,66,7
"0410047",108,76,8
"0410048",93,33,3
"0410049",50,128,5
"0410052",8,2,2
"0410053",0,1,0
"0410056",6,2,0
"0410057",26,68,4
"0410058",221,145,13
"0410059",12,3,0
"0410060",63,6,0
"0410061",31,8,0
"0410062",1,0,0
"0410063",2098,892,75
"0410064",0,0,0
"0410065",68,18,1
"0410067",93,37,6
"0410068",0,0,0
"0410069A",1674,961,80
"0410069B",6,3,0
"0410070",234,206,19
"0410071",63,15,2
"0410072",7,7,0
"0410074",73,136,4
"0410077",111,74,8
"0410078",110,19,2
"0410079",23,19,1
"0410080A",1322,668,78
"0410080B",4,2,0
"0410081",23,16,1
"0410082",148,56,10
"0410083",0,0,0
"0430001",677,459,47
"0430002",314,372,32
"0430003",108,127,8
"0430004",416,443,21
"0430005",29,43,6
"0430006",167,206,13
"0430007",13,49,3
"0430008",125,315,23
"0450001",73,9,0
"0450002",130,24,4
"0450003",126,16,6
"0450004",161,28,5
"0450006",28,9,0
"0470001",37,127,1
"0470002",59,212,3
"0470003",93,253,4
"0470004",36,63,0
"0470005",20,24,0
"0470006",61,269,13
"0470007",27,41,1
"0470008",77,191,6
"0470009",55,140,1
"0490101",1140,235,22
"0490105",801,158,26
"0490109",155,19,2
"0490113",869,153,22
"0490202",427,116,9
"0490204",313,129,11
"0490212",429,57,6
"0490214",356,54,4
"0490215",151,12,1
"0490303",486,110,14
"0490306",854,145,25
"0490307",351,50,12
"0490308",300,33,5
"0490316",137,12,1
"0490318",769,154,27
"0490410",1158,168,18
"0490411",395,138,19
