CNTYVTD,CraddickR_18G_RR Comm 1,McAllenD_18G_RR Comm 1,WrightL_18G_RR Comm 1
"0291038",390,826,37
"0291039",174,640,26
"0291040",168,770,22
"0291041",130,562,18
"0291042",81,334,12
"0291043",199,390,15
"0291044",180,683,23
"0291045",268,993,23
"0291046",162,644,9
"0291047",139,470,13
"0291048",180,635,24
"0291049",231,689,19
"0291050",164,413,18
"0291051",274,532,14
"0291052",208,546,23
"0291053",23,65,3
"0291054",231,679,24
"0291055",349,646,47
"0291056",370,752,38
"0291057",400,436,38
"0291058",468,510,26
"0291059",50,79,8
"0291060",187,799,28
"0291061",171,653,27
"0291062",31,29,1
"0291063",367,362,16
"0291064",224,261,21
"0291065",415,497,27
"0291066",99,177,12
"0291067",750,532,36
"0291068",220,289,20
"0291069",148,144,9
"0291070",139,275,10
"0291071",290,547,29
"0291072",215,605,31
"0291073A",640,811,60
"0291073B",84,105,9
"0291074",4,3,2
"0291075",160,536,15
"0291076",439,769,46
"0291077",122,532,15
"0291078",28,167,6
"0291079",764,1457,81
"0291080A",409,1212,59
"0291080B",4,12,1
"0291081",598,240,24
"0291082",694,1350,73
"0291083",580,849,58
"0291084",215,494,24
"0291085",171,449,13
"0291086",348,699,30
"0291087",154,406,15
"0291088",67,265,7
"0291089",275,362,20
"0291090",0,0,0
"0291091",268,659,30
"0291092",63,247,6
"0291093",171,251,21
"0291094",220,509,34
"0291095",31,44,8
"0291096",2,7,0
"0291097",79,229,10
"0291098",50,266,11
"0291099",805,1526,74
"0291100",453,824,31
"0291101",0,0,0
"0291102",223,181,19
"0291103",124,99,11
"0291104",621,947,56
"0291105",80,141,14
"0291106",0,0,0
"0291107",443,636,27
"0291108",1310,1514,107
"0291109",2,1,0
"0291110",804,1300,87
"0291111",945,1419,78
"0291112",502,1231,67
"0291113",516,821,49
"0291114",0,0,0
"0291115",36,50,3
"0291116",282,280,19
"0291117",51,97,6
"0291118",568,619,59
"0291119",10,33,2
"0291120",5,34,0
"0291121",1123,1414,95
"0291122A",1011,1168,64
"0291122B",10,12,0
"0291122C",19,21,1
"0291123",113,122,11
"0291124",98,183,12
"0291125A",454,531,28
"0291125B",0,1,0
"0291125C",9,11,0
"0291126",0,0,0
"0291127",36,175,5
"0291128",199,335,23
"0291129",103,140,8
"0291130",0,0,0
"0291131",0,0,0
"0291132",0,2,0
"0291133",1,0,0
"0291134",0,0,0
"0291135",0,0,0
"0291136",56,77,2
"0291137",0,0,0
"0291138",55,154,9
"0291139",125,305,15
"0291140",188,336,27
"0291141",306,460,42
"0291142",222,530,31
"0291143",660,722,48
"0291144A",1080,529,27
"0291144B",68,33,2
"0291144C",54,26,0
"0291145",249,156,9
"0291146",41,31,3
"0292001",36,196,10
"0292002",71,355,8
"0292003",84,551,25
"0292004",136,744,21
"0292005",86,343,18
"0292006",0,5,0
"0292007",96,480,16
"0292008",55,291,8
"0292009",235,565,20
"0292010",266,383,40
"0292011",102,554,34
"0292012",60,401,12
"0292013",105,381,17
"0292014",116,390,10
"0292015",71,476,22
"0292016",35,333,5
"0292017",49,272,11
"0292018",103,415,15
"0292019",67,454,18
"0292020",90,701,17
"0292021",150,732,23
"0292022",80,413,19
"0292023",232,983,42
"0292024",173,527,23
"0292025",241,838,32
"0292026",315,742,30
"0292027",206,493,14
"0292028",367,838,43
"0292029",74,338,11
"0292030",79,410,10
"0292031",63,421,14
"0292032",35,161,4
"0292033",40,168,6
"0292034",49,210,10
"0292035",214,605,33
"0292036",425,645,42
"0292037",431,393,24
"0292038",308,486,29
"0292039",130,539,18
"0292040",286,781,31
"0292041",284,921,28
"0292042",106,459,18
"0292043",115,550,21
"0292044",175,583,27
"0292045",265,882,33
"0292046",317,848,40
"0292047",243,621,29
"0292048",112,515,26
"0292049",324,865,30
"0292050",258,590,28
"0292051",83,169,11
"0292052",76,302,9
"0292053",97,395,18
"0292054",224,857,26
"0292055",301,925,36
"0292056",143,445,18
"0292057",192,633,30
"0292058",226,649,34
"0292059",224,646,39
"0292060",156,457,18
"0292061",212,317,22
"0292062",191,369,16
"0292063A",325,177,16
"0292063B",367,199,18
"0292063C",12,7,1
"0292064",375,713,51
"0292065",659,1271,62
"0292066",1068,1065,71
"0292067",32,128,5
"0292068",1005,1180,69
"0292069",438,868,51
"0292070",103,579,9
"0292071",41,187,6
"0292072",642,932,64
"0292073",146,369,11
"0292074",59,237,5
"0292075",43,280,9
"0292076",565,665,49
"0292077",575,671,56
"0292078",387,702,48
"0292079",22,178,7
"0292080",165,402,17
"0292081",123,271,17
"0292082",198,452,16
"0292083",85,293,15
"0292084",1141,870,76
"0292085",167,456,21
"0292086",714,942,61
"0292087",529,495,36
"0292088",682,1193,67
"0292089",28,120,5
"0292090",219,560,23
"0292091",360,875,54
"0292092",92,117,12
"0292093",197,306,16
"0292094",78,42,2
"0292095A",659,365,32
"0292095B",238,130,9
"0292096",277,666,38
"0292097",408,745,40
"0292098",197,369,27
"0292099",396,456,36
"0292100",190,363,23
"0292101",436,325,28
"0292102",621,759,49
"0292103",11,87,2
"0292104",13,85,4
"0292105",36,176,3
"0292106",69,143,11
"0292107",524,803,54
"0292108",363,314,25
"0292109",0,3,0
"0292110",241,335,26
"0292111",177,323,19
"0292112",363,528,32
"0292113",12,21,1
"0292114",312,643,45
"0292115",1171,1053,74
"0292116",0,2,0
"0292117",40,195,7
"0292118",0,13,0
"0292119",25,107,9
"0292120",256,297,22
"0292121",82,130,9
"0292122",151,502,26
"0292123",551,492,36
"0292124",189,216,15
"0292125",1204,1489,129
"0292126",239,385,14
"0292127",592,737,59
"0292128",136,604,14
"0292129",1,2,0
"0292130",416,646,39
"0292131",60,114,10
"0292132",0,1,0
"0292133",82,99,4
"0292134",156,352,19
"0292135",70,203,8
"0292136",898,1109,77
"0292137",208,322,17
"0292138",176,278,26
"0292139",455,536,34
"0292140",219,460,23
"0292141",289,421,26
"0292142",75,162,9
"0292143",488,538,36
"0292144",338,646,39
"0292145",85,116,4
"0292146",8,26,1
"0292147",82,141,6
"0292148",491,1073,71
"0292149",250,560,25
"0292150",0,3,0
"0292151",2,7,0
"0292152",52,190,18
"0292153",51,100,7
"0292154A",169,89,8
"0292154B",111,57,5
"0292155",1,0,0
"0292156",176,385,18
"0292157",0,0,0
"0292158",0,0,0
"0292159",39,61,4
"0292160",6,5,0
"0293001",1048,757,52
"0293002",630,645,41
"0293003",24,16,3
"0293004",0,1,0
"0293005",986,406,26
"0293006",378,309,18
"0293007",823,693,36
"0293008",48,12,1
"0293009",8,2,0
"0293010",101,167,5
"0293011",382,291,12
"0293012",455,160,7
"0293013",467,583,36
"0293014",154,159,8
"0293015",290,299,22
"0293016",67,54,3
"0293017A",1095,366,29
"0293017B",43,14,1
"0293018",787,445,29
"0293019",109,198,17
"0293020",938,783,48
"0293021",1322,398,26
"0293022",601,431,32
"0293023",554,779,40
"0293024",0,0,0
"0293025",690,453,24
"0293026",672,359,26
"0293027",579,357,29
"0293028",592,489,38
"0293029",346,368,21
"0293030",938,500,27
"0293031",6,9,0
"0293032",389,674,37
"0293033",928,396,29
"0293034",1488,310,41
"0293035",226,245,7
"0293036",733,1201,70
"0293037",716,832,78
"0293038",395,366,22
"0293039",1519,762,80
"0293040",642,583,41
"0293041",211,141,11
"0293042",916,548,37
"0293043",1133,478,46
"0293044",499,397,26
"0293045",673,325,21
"0293046",555,398,21
"0293047",698,539,28
"0293048",544,475,32
"0293049",920,514,45
"0293050",426,258,17
"0293051",160,83,13
"0293052",1513,1074,52
"0293053",700,432,19
"0293054",389,538,37
"0293055",1367,387,49
"0293056",356,602,36
"0293057",208,154,11
"0293058",646,965,78
"0293059",529,417,18
"0293060",546,557,47
"0293061",453,546,32
"0293062",12,13,1
"0293063",600,571,40
"0293064",127,142,9
"0293065",11,24,0
"0293066",623,548,39
"0293067",561,436,35
"0293068",358,798,55
"0293069",1060,926,48
"0293070",976,696,42
"0293071",600,766,43
"0293072",1322,854,65
"0293073",491,466,25
"0293074",927,701,69
"0293075",1460,625,49
"0293076",655,308,18
"0293077",899,664,56
"0293078",996,709,59
"0293079",1207,785,41
"0293080",407,279,15
"0293081",705,606,42
"0293082",693,631,43
"0293083",568,366,31
"0293084",948,784,66
"0293085",404,331,27
"0293086",664,479,27
"0293087",544,358,21
"0293088",1183,714,44
"0293089",1964,737,86
"0293090",1007,730,71
"0293091",484,137,12
"0293092",1344,476,41
"0293093",1709,971,62
"0293094",1286,723,34
"0293095",453,805,54
"0293096A",1260,765,63
"0293096B",0,0,0
"0293097",4,0,0
"0293098",438,335,29
"0293099",1033,863,62
"0293100",814,812,49
"0293101",847,665,42
"0293102",1183,713,54
"0293103",149,197,9
"0293104",987,622,50
"0293105",924,769,57
"0293106",710,345,32
"0293107",308,511,41
"0293108",636,321,26
"0293109",590,857,61
"0293110",833,807,67
"0293111",0,2,0
"0293112",272,462,27
"0293113",164,334,25
"0293114",1063,427,39
"0293115",805,482,26
"0293116",400,484,31
"0293117",1157,754,64
"0293118",293,264,17
"0293119",1057,1000,73
"0293120",867,883,54
"0293121",1352,1022,73
"0293122",731,574,40
"0293123",203,106,9
"0293124",1034,713,49
"0293125A",1239,707,66
"0293125B",2,1,0
"0293126",639,379,27
"0293127",833,1015,64
"0293128",20,17,5
"0293129",724,993,74
"0293130",831,357,14
"0293131",0,3,0
"0293132",230,403,18
"0293133",0,0,0
"0293134",428,1003,48
"0293135",233,281,15
"0293136",150,153,12
"0293137",1367,1001,68
"0293138",30,6,1
"0293139",332,420,24
"0293140",83,142,8
"0293141",298,413,27
"0293142",62,105,5
"0293143",425,444,18
"0293144",69,64,8
"0293145",1022,724,47
"0293146",762,1034,57
"0293147",684,750,34
"0293148",456,272,15
"0293149",265,1247,51
"0293150",9,7,0
"0293151",1566,1215,69
"0293152",258,480,39
"0293153",485,410,26
"0293154",722,352,22
"0293155",825,546,38
"0293156",10,7,0
"0293157",932,705,58
"0293158A",18,11,2
"0293158B",6,3,0
"0293159",402,569,42
"0293160",513,350,31
