CNTYVTD,BushR_18G_Land Comm,SuazoD_18G_Land Comm,PinaL_18G_Land Comm
"0292059",239,637,36
"0292060",173,434,27
"0292061",226,308,23
"0292062",196,355,33
"0292063A",329,169,24
"0292063B",369,190,28
"0292063C",12,6,1
"0292064",393,683,66
"0292065",674,1247,75
"0292066",1101,1011,102
"0292067",32,127,5
"0292068",1020,1140,102
"0292069",457,851,53
"0292070",112,555,27
"0292071",41,187,7
"0292072",677,894,72
"0292073",143,362,18
"0292074",67,230,6
"0292075",50,269,13
"0292076",559,652,75
"0292077",587,651,70
"0292078",389,680,69
"0292079",28,174,7
"0292080",173,395,20
"0292081",128,264,21
"0292082",202,438,24
"0292083",94,289,17
"0292084",1177,825,97
"0292085",170,437,35
"0292086",747,912,70
"0292087",539,476,53
"0292088",723,1126,96
"0292089",32,116,5
"0292090",231,548,21
"0292091",377,870,48
"0292092",92,115,12
"0292093",202,296,22
"0292094",86,36,1
"0292095A",666,345,48
"0292095B",240,122,15
"0292096",287,666,35
"0292097",412,731,54
"0292098",201,359,36
"0292099",415,440,40
"0292100",198,357,22
"0292101",443,313,39
"0292102",621,740,68
"0292103",13,87,1
"0292104",13,83,5
"0292105",40,175,1
"0292106",75,141,10
"0292107",543,779,60
"0292108",370,308,32
"0292109",0,3,0
"0292110",245,328,31
"0292111",184,321,16
"0292112",394,494,37
"0292113",12,20,2
"0292114",329,622,49
"0292115",1205,1019,91
"0292116",0,2,0
"0292117",45,192,6
"0292118",1,12,0
"0292119",26,109,7
"0292120",255,295,29
"0292121",95,123,8
"0292122",156,501,24
"0292123",559,467,54
"0292124",198,214,9
"0292125",1240,1457,126
"0292126",238,377,24
"0292127",602,720,67
"0292128",143,589,27
"0292129",0,2,1
"0292130",420,628,56
"0292131",65,111,8
"0292132",0,1,0
"0292133",85,94,7
"0292134",160,348,24
"0292135",78,193,11
"0292136",949,1057,90
"0292137",206,321,22
"0292138",188,261,30
"0292139",469,513,51
"0292140",225,449,29
"0292141",298,394,47
"0292142",66,167,14
"0292143",505,515,48
"0292144",360,623,46
"0292145",91,109,7
"0292146",11,24,0
"0292147",85,133,10
"0292148",504,1061,78
"0292149",252,545,40
"0292150",0,3,0
"0292151",3,6,0
"0292152",57,189,14
"0292153",50,98,11
"0292154A",176,82,10
"0292154B",115,53,6
"0292155",1,0,0
"0292156",172,386,21
"0292157",0,0,0
"0292158",0,0,0
"0292159",43,58,3
"0292160",6,5,0
"0293001",1081,717,72
"0293002",649,613,58
"0293003",24,16,4
"0293004",0,1,0
"0293005",982,392,49
"0293006",391,289,26
"0293007",834,660,63
"0293008",48,12,2
"0293009",8,2,0
"0293010",103,163,7
"0293011",386,280,23
"0293012",459,150,15
"0293013",483,554,54
"0293014",155,155,13
"0293015",290,290,30
"0293016",69,54,5
"0293017A",1101,338,56
"0293017B",43,14,2
"0293018",796,422,44
"0293019",116,189,20
"0293020",964,752,70
"0293021",1326,389,48
"0293022",605,430,45
"0293023",572,738,67
"0293024",0,0,0
"0293025",706,433,30
"0293026",684,343,36
"0293027",586,345,43
"0293028",592,464,68
"0293029",346,360,36
"0293030",976,473,34
"0293031",6,9,0
"0293032",398,652,47
"0293033",939,389,37
"0293034",1479,309,57
"0293035",225,242,15
"0293036",760,1170,85
"0293037",726,810,93
"0293038",411,340,34
"0293039",1496,745,127
"0293040",637,572,59
"0293041",209,138,15
"0293042",946,533,32
"0293043",1124,466,69
"0293044",507,383,34
"0293045",703,296,28
"0293046",564,383,32
"0293047",701,518,46
"0293048",579,448,38
"0293049",935,502,55
"0293050",421,256,29
"0293051",152,87,17
"0293052",1522,1047,85
"0293053",718,407,27
"0293054",417,517,32
"0293055",1344,382,89
"0293056",375,582,44
"0293057",220,146,10
"0293058",676,940,77
"0293059",538,390,40
"0293060",563,528,62
"0293061",459,522,51
"0293062",13,13,0
"0293063",612,554,52
"0293064",131,135,14
"0293065",9,25,1
"0293066",640,524,52
"0293067",558,419,55
"0293068",375,781,59
"0293069",1086,896,63
"0293070",1009,669,48
"0293071",619,731,63
"0293072",1357,805,88
"0293073",513,448,26
"0293074",965,665,67
"0293075",1511,567,70
"0293076",658,298,26
"0293077",919,643,68
"0293078",1020,681,86
"0293079",1257,730,56
"0293080",399,275,28
"0293081",721,591,42
"0293082",687,623,56
"0293083",540,371,57
"0293084",942,768,91
"0293085",412,322,34
"0293086",655,473,47
"0293087",537,340,48
"0293088",1184,712,62
"0293089",1964,723,112
"0293090",1017,712,94
"0293091",498,126,17
"0293092",1316,469,81
"0293093",1729,931,100
"0293094",1312,703,49
"0293095",484,782,53
"0293096A",1262,742,94
"0293096B",0,0,0
"0293097",2,0,2
"0293098",436,325,44
"0293099",1070,821,78
"0293100",833,791,65
"0293101",870,623,67
"0293102",1226,671,70
"0293103",161,186,8
"0293104",965,623,85
"0293105",906,768,86
"0293106",688,339,56
"0293107",322,494,44
"0293108",610,330,53
"0293109",607,839,67
"0293110",834,798,73
"0293111",0,2,0
"0293112",293,447,28
"0293113",170,320,33
"0293114",1060,408,67
"0293115",845,448,28
"0293116",416,455,47
"0293117",1174,732,76
"0293118",294,260,23
"0293119",1073,971,94
"0293120",881,850,82
"0293121",1363,1005,92
"0293122",733,552,60
"0293123",199,101,17
"0293124",1033,715,52
"0293125A",1263,679,72
"0293125B",2,1,0
"0293126",657,342,45
"0293127",868,961,87
"0293128",19,19,4
"0293129",750,950,98
"0293130",843,333,36
"0293131",0,3,0
"0293132",224,396,35
"0293133",0,0,0
"0293134",443,983,59
"0293135",237,265,23
"0293136",151,152,12
"0293137",1378,981,90
"0293138",31,5,1
"0293139",324,414,39
"0293140",82,136,16
"0293141",298,403,39
"0293142",62,105,6
"0293143",425,430,31
"0293144",64,71,6
"0293145",1072,689,52
"0293146",775,997,90
"0293147",688,733,52
"0293148",455,264,29
"0293149",291,1232,47
"0293150",9,7,0
"0293151",1619,1164,78
"0293152",257,474,53
"0293153",487,396,33
"0293154",698,359,45
"0293155",858,523,48
"0293156",10,7,0
"0293157",954,678,72
"0293158A",20,10,1
"0293158B",6,3,0
"0293159",416,553,51
"0293160",522,338,39
"0293161",540,719,53
"0293162",286,335,45
"0293163",905,569,70
"0293164",762,377,45
"0293165",1244,810,116
"0293166",137,161,19
"0293167",4,2,0
"0293168",230,231,20
"0293169",44,28,7
"0293170",0,0,0
"0293171",0,1,0
"0293172",104,158,15
"0293173",1162,791,70
"0293174",1706,850,92
"0293175",172,200,18
"0293176",20,17,1
"0293178",0,0,0
"0293179",2,0,0
"0293180",298,327,30
"0293181",816,417,54
"0293182",280,212,22
"0293183",8,1,1
"0293184",60,39,5
"0293185A",74,50,6
"0293185B",18,12,1
"0293186",1,0,0
"0293187",0,0,0
"0293188A",0,0,0
"0293188B",0,0,0
"0293189",283,312,18
"0293190",0,0,0
"0293191",81,42,6
"0293193",78,43,2
"0293194",1357,644,84
"0293195",277,815,36
"0293196",5,3,0
"0293198",215,173,14
"0293199",1137,611,47
"0293201",1540,749,81
"0293202",344,212,21
"0293203",191,91,21
"0293204",0,0,0
"0293205",0,0,0
"0293206",9,49,2
"0293207",1,3,0
"0293208",15,24,1
"0294001",482,800,59
"0294002",49,256,5
"0294003",70,339,12
"0294004",126,275,9
"0294005",149,586,25
"0294006",56,210,13
"0294007",195,158,14
"0294008",207,205,19
"0294009",53,237,9
"0294010",37,326,6
"0294011",48,388,10
"0294012",40,205,8
"0294013",85,281,15
"0294014",35,124,2
"0294015",153,605,30
"0294016",230,767,40
"0294017",239,825,50
"0294018",207,438,32
"0294019",279,652,39
"0294020",189,332,22
"0294021",215,289,19
"0294022",28,26,2
"0294023",429,606,42
"0294024",395,743,55
"0294025",162,323,17
"0294026",344,948,61
"0294027",216,479,27
"0294028",282,808,32
"0294029",134,657,22
"0294030",11,117,2
"0294031",186,479,15
"0294032",274,491,26
"0294033",482,858,48
"0294034",260,467,40
"0294035",5,14,0
"0294036",221,883,49
"0294037",70,486,12
"0294038",767,900,86
"0294039",36,429,12
"0294040",79,387,13
"0294041",101,626,24
"0294042",21,25,1
"0294043",500,809,56
"0294044",216,347,30
"0294045",421,634,50
"0294046",807,576,66
"0294047",371,670,34
"0294048",151,521,20
"0294049",314,585,39
"0294050",548,325,39
"0294051",650,425,63
"0294052",612,495,54
"0294053",389,495,27
"0294054",807,943,81
"0294055",434,277,52
"0294056",747,688,65
"0294057",745,333,32
"0294058",591,330,51
"0294059",567,527,45
"0294060",366,482,42
"0294061",273,534,36
"0294062",95,188,12
"0294063",136,205,12
"0294064",516,529,37
"0294065",398,1029,67
"0294066",518,887,76
"0294067",321,380,22
"0294068",71,130,13
"0294069",379,182,31
"0294070",424,1008,47
"0294071",708,139,51
"0294072",1149,389,73
"0294073",380,302,40
"0294074",466,368,37
"0294075",50,232,11
"0294076",351,750,39
"0294077",458,752,49
"0294078",520,142,30
"0294079",412,284,49
"0294080",299,551,37
"0294081",109,72,11
"0294082",89,502,18
"0294083",143,179,15
"0294084",45,124,6
"0294085",8,1,0
"0294086",131,79,10
"0294087",413,583,35
"0294088",540,994,62
"0294089",646,691,51
"0294090",465,479,53
"0294091",188,316,28
"0294092",528,360,25
"0294093",544,582,63
"0294094",465,423,41
"0294095",422,403,43
"0294096",393,576,43
"0294097",383,410,39
"0294098",364,397,42
"0294099",217,312,24
"0294100",195,254,19
"0294101",280,176,28
"0294102",87,195,21
"0294103",0,0,0
"0294104",394,428,39
"0294105",562,417,46
"0294106",48,107,8
"0294107",368,335,13
"0294108",708,774,95
"0294109",149,220,15
"0294110",155,423,28
"0294111",9,106,2
"0294112",350,181,19
"0294113",53,243,6
"0294114A",12,9,0
"0294114B",1,1,0
"0294115",61,44,5
"0294116",17,12,1
"0294117",159,141,16
"0294118",40,6,1
"0294119",95,226,12
"0294120",31,51,2
"0294121",58,29,6
"0294122",14,34,3
"0294123",19,51,3
"0294124",175,555,24
"0294125",10,22,1
"0294126",427,248,25
"0294127",11,10,0
"0294128",33,57,6
"0294129",31,14,2
"0294130",157,185,18
"0294131",56,94,4
"0294132",415,664,36
"0294133",15,1,1
"0294134",2,2,0
"0294135",0,0,0
"0294136",118,58,10
"0294137",49,6,1
"0294138",2,2,0
"0294139",0,0,0
"0294140",0,0,0
"0294141",15,76,2
"0294142",35,186,7
"0294143",405,1082,50
"0294144",191,86,20
"0294145",3,2,1
"0294146",6,10,1
"0294147",60,77,13
"0294148",37,45,7
"0294149",65,97,7
"0294150",253,464,19
"0294151",221,46,23
"0294152",371,483,40
"0294153",25,24,3
"0294154",156,189,13
"0294155",300,991,57
"0294156",122,312,10
"0294157",174,609,42
"0294158",80,149,15
"0294159",4,3,0
"0294160",202,500,30
"0294161",18,182,7
"0294162",493,518,44
"0294163",326,608,47
"0294164",791,449,46
"0294165",37,16,1
"0294166",41,68,9
"0294167",5,7,1
"0294168",296,592,40
"0294169",117,71,6
"0294170",57,98,12
"0294171",359,300,32
"0294172",287,263,22
"0294173",433,392,40
"0294174",250,339,26
"0294175",0,0,0
"0294176",320,220,16
"0294177",0,18,0
"0294178",0,2,0
"0294179",767,691,88
"0294180",2,0,0
"0294181",0,0,0
"0294182",1,0,0
"0294183",13,39,3
"0294184",1,9,0
"0294185",2,0,0
"0294186",18,39,2
"0294187",0,0,0
"0294188",0,1,0
"0294189",100,249,14
"0294190",0,2,0
"0294191",0,0,0
"0294192",0,0,0
"0294193",6,12,1
"0294194",129,150,23
"0294195",0,0,0
"0294196",0,0,0
"0294198",207,487,36
"0294199",179,293,26
"0294200",407,768,44
"0294201",6,3,0
"0294202",0,0,0
"0294203",41,137,10
"0294204",1,2,0
"0294205",29,25,4
"0294206",90,114,3
"0294207",10,2,1
"0294208",0,0,0
"0294209",23,4,0
"0294210",1,4,1
"0294211",1,19,0
"0294212",2,0,0
"0310102",1027,304,62
"0310201",1074,331,68
"0310302",530,233,37
"0310303",280,74,15
"0310304",129,53,11
"0310401",1072,387,66
"0330004",78,6,1
"033001A",33,4,1
"033001B",50,3,2
"033002A",66,5,3
"033002B",26,3,0
"033003A",14,1,0
"033003B",33,1,0
"0350001",360,54,18
"0350002",343,95,14
"0350003",506,89,26
"0350004",261,34,6
"0350005",671,168,35
"0350006",585,114,30
"0350007",356,55,22
"0350008",1080,220,50
"0350009",443,98,15
"0350010",626,129,36
"0350011",416,74,19
"0370007",1233,632,39
"0370009",868,405,25
"0370010",926,194,29
"0370011",1200,174,47
"0370012",1070,178,43
"0370013",67,18,2
"0370014",1105,434,45
"0370015",267,32,10
"0370016",614,87,34
"0370017",740,116,25
"0370018",996,198,48
"0370019",397,26,5
"037001A",59,365,10
"037001B",128,352,7
"0370020",208,114,7
"0370021",118,23,3
"0370022",158,33,8
"0370024",246,47,8
"0370025",554,109,18
"0370027",325,21,13
"0370028",389,25,18
"0370029",155,19,10
"037002A",124,339,8
"037002B",74,98,5
"037002C",70,375,6
"037002D",12,17,1
"0370030",557,153,21
"037003A",500,239,24
"037003B",143,207,13
"037004A",161,219,11
"037004B",537,273,34
"037004C",101,139,7
"037004D",6,8,0
"037004E",0,0,0
"037005A",44,57,1
"037005B",0,0,0
"037005C",1951,500,61
"037006A",897,281,25
"037006B",995,235,31
"037008A",138,222,10
"037008B",1182,342,41
"037008C",527,123,23
"0390001",1279,559,77
"0390002",1511,498,66
"0390003",1761,532,96
"0390004",1260,373,65
"0390005",759,233,29
"0390006",619,92,34
"0390007",309,537,13
"0390008",442,108,18
"0390009",277,149,13
"0390010",420,71,23
"0390011",1004,602,62
"0390012",1151,640,72
"0390013",1462,940,75
"0390014",2008,607,82
"0390015",1178,141,58
"0390016",1484,577,85
"0390017",478,517,33
"0390019",361,407,22
"0390020",623,151,38
"0390021",1060,1224,73
"0390022",1775,469,93
"0390023",1491,565,57
"0390024",1746,555,83
"0390025",767,222,36
"0390026",1054,827,67
"0390027",848,620,26
"0390028",2062,1214,122
"0390029",785,1191,50
"0390030",1451,298,71
"0390031",504,94,24
"0390032",1084,272,49
"0390033",739,315,27
"0390034",1593,527,90
"0390035",761,141,32
"0390036",1574,925,101
"0390038",326,95,20
"0390039",1251,567,76
"0390040",1938,1030,108
"0390042",213,106,12
"0390043",1521,593,97
"0390044",1510,1777,75
"0390045",1339,495,93
"0390046",892,391,54
"0390047",831,532,65
"0390048",859,433,41
"0390049",773,100,37
"0390050",1377,2698,97
"0390051",1592,484,69
"0390052",1193,492,65
"0390053",305,828,22
"0390054",688,993,61
"0390055",1147,439,61
"0390056",1648,663,87
"0390057",1312,333,55
"0390058",529,597,20
"0390059",1007,2135,84
"0390060",1576,1463,93
"0390061",2315,879,106
"0390062",903,1188,66
"0390063",517,1540,66
"0390064",15,5,0
"0390067",601,1346,46
"0390068",652,1216,58
"0410001",1013,187,33
"0410002",2447,697,127
"0410003",318,170,21
"0410004",72,504,14
"0410005",839,177,40
"0410006",481,76,26
"0410007",861,148,32
"0410008",370,420,61
"0410009",430,317,29
"0410010",1301,669,93
"0410011",646,679,79
"0410012",1556,838,141
"0410013",845,429,65
"0410014",265,639,32
"0410015",1289,500,56
"0410016",110,315,12
"0410017",637,729,83
"0410018",37,177,8
"0410019",56,61,5
"0410020",891,1094,71
"0410021",323,463,33
"0410022",65,89,5
"0410023",50,7,2
"0410024",720,543,42
"0410025",47,333,11
"0410026",1289,454,78
"0410027",1669,300,69
"0410028",207,26,7
"0410029",351,164,12
"0410030",489,509,36
"0410031",1271,979,124
"0410032",0,0,0
"0410033",244,410,28
"0410034",967,1060,105
"0410035",1458,1936,154
"0410036",1012,773,96
"0410037",91,10,7
"0410038",8,101,0
"0410039",1567,1001,99
"0410040",2047,925,132
"0410041",2315,724,88
"0410042",0,0,0
"0410043",3,10,1
"0410044",55,9,2
"0410045",44,13,4
"0410046",96,68,6
"0410047",103,79,9
"0410048",100,25,4
"0410049",50,122,9
"0410052",9,2,1
"0410053",0,1,0
"0410056",7,1,0
"0410057",24,68,7
"0410058",230,127,14
"0410059",13,2,0
"0410060",67,3,0
"0410061",30,10,0
"0410062",1,0,0
"0410063",2202,735,104
"0410064",0,0,0
"0410065",67,15,4
"0410067",94,36,4
"0410068",0,0,0
"0410069A",1820,768,99
"0410069B",6,2,0
"0410070",236,178,37
"0410071",65,10,5
"0410072",10,4,0
"0410074",78,131,5
"0410077",107,79,8
"0410078",112,13,6
"0410079",22,19,2
"0410080A",1476,479,86
"0410080B",5,1,0
"0410081",23,13,1
"0410082",157,45,6
"0410083",0,0,0
"0430001",644,452,72
"0430002",310,361,38
"0430003",115,115,13
"0430004",414,416,46
"0430005",30,44,4
"0430006",162,194,27
"0430007",11,49,5
"0430008",141,302,23
"0450001",66,10,3
"0450002",135,20,4
"0450003",123,11,11
"0450004",164,22,4
"0450006",28,6,1
"0470001",50,113,4
"0470002",61,200,10
"0470003",99,248,6
"0470004",34,62,3
"0470005",19,24,1
"0470006",77,260,12
"0470007",31,40,0
"0470008",87,188,1
"0470009",61,136,2
"0490101",1180,176,38
"0490105",823,119,34
"0490109",161,12,3
"0490113",874,125,41
"0490202",412,112,24
"0490204",313,112,28
"0490212",434,43,17
"0490214",351,51,7
"0490215",148,10,7
"0490303",480,94,33
"0490306",898,92,38
"0490307",347,40,22
"0490308",308,22,7
"0490316",128,13,8
"0490318",813,106,29
"0490410",1148,141,53
"0490411",401,118,35
"0490417",961,115,40
"0510113",358,44,6
"0510114",658,212,26
"0510203",196,50,9
"0510204",364,51,14
"0510207",160,83,9
"0510211",485,98,13
"0510215",174,44,6
