CNTYVTD,HegarR_18G_Comptroller,ChevalierD_18G_Comptroller,SandersL_18G_Comptroller
"0293076",647,305,24
"0293077",895,667,52
"0293078",980,722,71
"0293079",1197,772,66
"0293080",395,280,25
"0293081",703,596,55
"0293082",686,625,49
"0293083",557,370,38
"0293084",934,788,79
"0293085",401,329,31
"0293086",654,489,26
"0293087",547,344,27
"0293088",1155,723,66
"0293089",1965,734,97
"0293090",991,743,80
"0293091",479,139,15
"0293092",1326,482,48
"0293093",1718,958,71
"0293094",1286,726,38
"0293095",445,794,72
"0293096A",1250,762,72
"0293096B",0,0,0
"0293097",3,1,0
"0293098",425,344,32
"0293099",1034,854,63
"0293100",798,823,61
"0293101",827,668,52
"0293102",1175,704,77
"0293103",144,198,13
"0293104",967,629,63
"0293105",914,764,75
"0293106",692,350,37
"0293107",303,512,46
"0293108",620,339,27
"0293109",592,859,61
"0293110",817,802,80
"0293111",0,2,0
"0293112",252,464,43
"0293113",162,332,30
"0293114",1072,416,42
"0293115",803,484,24
"0293116",391,477,42
"0293117",1135,767,78
"0293118",294,268,17
"0293119",1045,990,86
"0293120",845,876,86
"0293121",1334,1046,73
"0293122",724,566,47
"0293123",201,111,8
"0293124",1016,729,54
"0293125A",1217,725,67
"0293125B",2,1,0
"0293126",628,373,42
"0293127",815,1029,74
"0293128",20,18,4
"0293129",704,987,95
"0293130",830,346,29
"0293131",0,3,0
"0293132",225,397,27
"0293133",0,0,0
"0293134",420,988,76
"0293135",229,273,21
"0293136",152,150,13
"0293137",1342,1017,83
"0293138",31,6,0
"0293139",311,427,38
"0293140",80,143,10
"0293141",280,416,36
"0293142",60,107,5
"0293143",427,436,24
"0293144",67,65,7
"0293145",1048,701,52
"0293146",754,1034,71
"0293147",679,741,45
"0293148",446,282,18
"0293149",285,1209,72
"0293150",8,6,2
"0293151",1561,1199,90
"0293152",255,480,41
"0293153",477,409,30
"0293154",712,354,28
"0293155",836,535,47
"0293156",9,8,0
"0293157",927,711,58
"0293158A",20,11,0
"0293158B",6,3,0
"0293159",384,571,58
"0293160",512,355,31
"0293161",538,731,37
"0293162",277,349,38
"0293163",911,580,57
"0293164",745,395,41
"0293165",1231,846,83
"0293166",133,162,21
"0293167",4,2,0
"0293168",212,250,19
"0293169",48,29,2
"0293170",0,0,0
"0293171",0,1,0
"0293172",101,164,14
"0293173",1108,834,70
"0293174",1634,923,77
"0293175",187,186,15
"0293176",20,18,0
"0293178",0,0,0
"0293179",1,1,0
"0293180",289,336,28
"0293181",800,447,36
"0293182",285,214,13
"0293183",9,1,0
"0293184",55,43,5
"0293185A",73,52,5
"0293185B",17,12,1
"0293186",1,0,0
"0293187",0,0,0
"0293188A",0,0,0
"0293188B",0,0,0
"0293189",274,319,17
"0293190",0,0,0
"0293191",79,43,4
"0293193",71,48,3
"0293194",1336,668,68
"0293195",260,805,62
"0293196",5,3,0
"0293198",206,178,18
"0293199",1089,663,35
"0293201",1520,771,74
"0293202",338,219,17
"0293203",185,102,13
"0293204",0,0,0
"0293205",0,0,0
"0293206",7,52,1
"0293207",1,3,0
"0293208",14,24,1
"0294001",430,825,68
"0294002",47,256,8
"0294003",57,344,18
"0294004",108,285,14
"0294005",119,594,35
"0294006",46,215,16
"0294007",177,165,24
"0294008",202,208,18
"0294009",49,236,13
"0294010",27,327,13
"0294011",43,391,12
"0294012",41,199,12
"0294013",84,275,19
"0294014",31,123,6
"0294015",132,610,45
"0294016",206,771,53
"0294017",213,840,59
"0294018",187,456,35
"0294019",244,672,51
"0294020",182,342,22
"0294021",213,285,27
"0294022",27,28,1
"0294023",380,634,58
"0294024",371,769,42
"0294025",147,331,21
"0294026",318,950,75
"0294027",186,492,40
"0294028",244,826,40
"0294029",111,667,27
"0294030",9,116,5
"0294031",164,489,26
"0294032",247,503,36
"0294033",465,881,42
"0294034",252,473,36
"0294035",5,15,0
"0294036",196,904,52
"0294037",56,492,15
"0294038",723,938,81
"0294039",36,428,14
"0294040",71,394,18
"0294041",90,632,34
"0294042",21,23,3
"0294043",490,814,62
"0294044",211,349,31
"0294045",413,639,52
"0294046",809,595,44
"0294047",358,669,43
"0294048",129,529,34
"0294049",301,593,40
"0294050",513,356,37
"0294051",641,451,45
"0294052",610,507,38
"0294053",357,506,41
"0294054",796,957,75
"0294055",428,296,38
"0294056",748,694,57
"0294057",722,350,28
"0294058",603,333,33
"0294059",540,543,52
"0294060",356,498,34
"0294061",272,529,46
"0294062",84,192,15
"0294063",126,212,14
"0294064",502,540,36
"0294065",368,1035,84
"0294066",495,911,68
"0294067",326,377,20
"0294068",72,131,11
"0294069",374,193,19
"0294070",386,1033,59
"0294071",743,130,22
"0294072",1174,397,42
"0294073",362,318,40
"0294074",460,376,32
"0294075",51,232,11
"0294076",327,759,50
"0294077",432,777,50
"0294078",533,140,21
"0294079",415,292,36
"0294080",290,554,38
"0294081",106,72,13
"0294082",77,505,26
"0294083",137,180,21
"0294084",41,129,5
"0294085",9,1,0
"0294086",134,71,12
"0294087",394,606,29
"0294088",522,1007,60
"0294089",623,714,53
"0294090",447,497,52
"0294091",171,329,30
"0294092",518,373,22
"0294093",519,605,60
"0294094",461,433,32
"0294095",419,405,42
"0294096",375,589,43
"0294097",380,418,33
"0294098",365,407,31
"0294099",202,321,31
"0294100",194,253,20
"0294101",288,179,15
"0294102",82,201,18
"0294103",0,0,0
"0294104",380,433,45
"0294105",560,428,37
"0294106",47,106,8
"0294107",351,342,18
"0294108",707,785,85
"0294109",134,232,14
"0294110",148,432,29
"0294111",7,108,2
"0294112",342,192,12
"0294113",45,243,10
"0294114A",12,9,0
"0294114B",1,1,0
"0294115",60,43,8
"0294116",17,12,1
"0294117",149,147,18
"0294118",39,4,2
"0294119",84,234,15
"0294120",26,55,3
"0294121",54,33,6
"0294122",14,34,2
"0294123",17,54,2
"0294124",159,569,27
"0294125",7,24,2
"0294126",426,249,23
"0294127",10,11,0
"0294128",35,56,4
"0294129",32,14,1
"0294130",146,190,21
"0294131",50,98,7
"0294132",381,686,42
"0294133",15,1,1
"0294134",1,2,1
"0294135",0,0,0
"0294136",126,55,4
"0294137",49,7,0
"0294138",2,2,0
"0294139",0,0,0
"0294140",0,0,0
"0294141",12,80,1
"0294142",31,189,9
"0294143",368,1105,62
"0294144",201,89,8
"0294145",4,2,0
"0294146",5,11,1
"0294147",58,76,13
"0294148",37,48,5
"0294149",63,95,13
"0294150",239,470,27
"0294151",231,53,7
"0294152",361,492,41
"0294153",28,22,1
"0294154",144,197,11
"0294155",261,1019,63
"0294156",114,313,14
"0294157",160,622,42
"0294158",79,152,13
"0294159",4,3,0
"0294160",194,501,34
"0294161",18,183,6
"0294162",472,531,45
"0294163",320,615,44
"0294164",786,458,40
"0294165",36,17,1
"0294166",40,71,6
"0294167",6,7,0
"0294168",293,600,30
"0294169",114,75,8
"0294170",62,96,9
"0294171",344,306,34
"0294172",264,270,35
"0294173",416,401,40
"0294174",240,344,29
"0294175",0,0,0
"0294176",308,223,17
"0294177",1,18,0
"0294178",0,2,0
"0294179",758,701,83
"0294180",2,0,0
"0294181",0,0,0
"0294182",1,0,0
"0294183",10,39,4
"0294184",0,9,1
"0294185",2,0,0
"0294186",14,42,3
"0294187",0,0,0
"0294188",0,1,0
"0294189",98,248,17
"0294190",0,1,1
"0294191",0,0,0
"0294192",0,0,0
"0294193",6,12,1
"0294194",135,152,14
"0294195",0,0,0
"0294196",0,0,0
"0294198",193,504,34
"0294199",185,284,29
"0294200",358,797,52
"0294201",7,2,0
"0294202",0,0,0
"0294203",38,143,8
"0294204",1,2,0
"0294205",29,24,5
"0294206",84,117,5
"0294207",12,2,0
"0294208",0,0,0
"0294209",23,4,0
"0294210",2,3,1
"0294211",1,19,0
"0294212",2,0,0
"0310102",1047,290,54
"0310201",1093,329,51
"0310302",551,220,30
"0310303",297,65,10
"0310304",135,50,6
"0310401",1093,372,57
"0330004",80,3,1
"033001A",34,3,0
"033001B",50,2,4
"033002A",65,3,4
"033002B",26,2,0
"033003A",14,1,0
"033003B",36,0,0
"0350001",366,53,9
"0350002",346,92,12
"0350003",495,98,18
"0350004",269,29,4
"0350005",683,161,28
"0350006",588,117,23
"0350007",356,50,17
"0350008",1057,227,51
"0350009",449,93,10
"0350010",630,125,26
"0350011",423,67,20
"0370007",1230,628,46
"0370009",868,402,35
"0370010",928,204,15
"0370011",1224,168,30
"0370012",1095,157,38
"0370013",67,18,2
"0370014",1122,426,30
"0370015",277,31,1
"0370016",633,85,15
"0370017",747,113,17
"0370018",1006,193,38
"0370019",393,29,3
"037001A",52,367,13
"037001B",121,357,8
"0370020",206,113,5
"0370021",120,23,2
"0370022",159,30,7
"0370024",244,47,8
"0370025",552,109,17
"0370027",335,17,5
"0370028",395,28,10
"0370029",159,20,6
"037002A",117,343,8
"037002B",74,95,6
"037002C",60,379,14
"037002D",13,17,1
"0370030",554,162,15
"037003A",487,247,26
"037003B",143,205,14
"037004A",167,215,11
"037004B",549,271,25
"037004C",104,135,7
"037004D",6,8,0
"037004E",0,0,0
"037005A",44,57,1
"037005B",0,0,0
"037005C",1943,486,71
"037006A",892,278,22
"037006B",970,242,43
"037008A",134,230,6
"037008B",1190,349,25
"037008C",539,119,13
"0390001",1286,562,59
"0390002",1543,471,56
"0390003",1783,513,81
"0390004",1286,364,39
"0390005",774,226,17
"0390006",637,95,14
"0390007",289,537,26
"0390008",450,107,11
"0390009",270,157,11
"0390010",442,64,10
"0390011",1017,605,35
"0390012",1141,662,59
"0390013",1465,934,77
"0390014",2019,605,64
"0390015",1195,130,37
"0390016",1492,573,72
"0390017",467,513,45
"0390019",349,404,34
"0390020",640,148,22
"0390021",1057,1229,70
"0390022",1817,442,73
"0390023",1477,566,64
"0390024",1746,554,72
"0390025",777,219,29
"0390026",1057,819,68
"0390027",835,615,27
"0390028",2063,1212,104
"0390029",761,1197,62
"0390030",1492,262,60
"0390031",518,93,10
"0390032",1117,248,36
"0390033",759,308,17
"0390034",1642,514,53
"0390035",778,144,14
"0390036",1570,913,101
"0390038",329,97,11
"0390039",1256,571,70
"0390040",1994,1014,65
"0390042",218,101,8
"0390043",1541,588,73
"0390044",1462,1793,89
"0390045",1366,464,87
"0390046",919,372,46
"0390047",842,526,55
"0390048",841,440,42
"0390049",783,99,24
"0390050",1291,2758,115
"0390051",1619,468,52
"0390052",1201,493,52
"0390053",279,838,39
"0390054",673,1001,63
"0390055",1160,435,44
"0390056",1681,642,59
"0390057",1335,324,44
"0390058",518,599,27
"0390059",959,2163,96
"0390060",1566,1467,78
"0390061",2315,896,92
"0390062",893,1183,71
"0390063",484,1574,67
"0390064",15,5,0
"0390067",575,1351,60
"0390068",637,1231,60
"0410001",1007,183,35
"0410002",2464,697,99
"0410003",317,174,16
"0410004",65,510,16
"0410005",844,183,24
"0410006",486,78,14
"0410007",870,141,28
"0410008",362,417,66
"0410009",413,326,33
"0410010",1271,679,100
"0410011",620,661,115
"0410012",1543,832,146
"0410013",837,443,55
"0410014",250,644,39
"0410015",1259,511,70
"0410016",105,309,21
"0410017",632,737,82
"0410018",37,172,8
"0410019",55,61,4
"0410020",849,1079,116
"0410021",311,460,43
"0410022",63,92,5
"0410023",51,7,1
"0410024",696,543,56
"0410025",46,335,10
"0410026",1285,462,65
"0410027",1652,288,93
"0410028",209,23,4
"0410029",338,172,13
"0410030",470,511,48
"0410031",1233,988,137
"0410032",0,0,0
"0410033",232,411,38
"0410034",924,1071,135
"0410035",1412,1920,202
"0410036",1003,769,97
"0410037",96,7,6
"0410038",7,99,2
"0410039",1534,1000,108
"0410040",1995,952,125
"0410041",2300,734,70
"0410042",0,0,0
"0410043",5,9,0
"0410044",57,7,1
"0410045",45,14,3
"0410046",98,65,6
"0410047",102,81,8
"0410048",101,26,2
"0410049",46,121,14
"0410052",9,2,1
"0410053",0,0,1
"0410056",6,2,0
"0410057",26,68,5
"0410058",226,131,12
"0410059",13,2,0
"0410060",64,6,0
"0410061",30,7,1
"0410062",1,0,0
"0410063",2159,748,110
"0410064",0,0,0
"0410065",70,13,3
"0410067",90,34,9
"0410068",0,0,0
"0410069A",1785,794,95
"0410069B",6,2,0
"0410070",249,174,27
"0410071",66,11,3
"0410072",8,5,1
"0410074",74,131,8
"0410077",105,77,11
"0410078",111,15,4
"0410079",22,19,2
"0410080A",1438,509,94
"0410080B",5,1,0
"0410081",25,11,0
"0410082",156,46,7
"0410083",0,0,0
"0430001",675,416,66
"0430002",308,348,49
"0430003",107,117,18
"0430004",415,414,37
"0430005",29,41,7
"0430006",172,189,17
"0430007",14,49,2
"0430008",123,285,49
"0450001",71,8,0
"0450002",141,18,1
"0450003",129,9,3
"0450004",170,19,3
"0450006",30,5,0
"0470001",35,118,10
"0470002",57,205,10
"0470003",83,252,12
"0470004",36,60,1
"0470005",19,24,1
"0470006",55,273,12
"0470007",25,41,3
"0470008",69,195,6
"0470009",48,140,3
"0490101",1189,174,24
"0490105",848,111,16
"0490109",164,11,2
"0490113",896,120,24
"0490202",434,100,11
"0490204",312,125,14
"0490212",441,44,5
"0490214",349,50,8
"0490215",155,9,1
"0490303",496,94,15
"0490306",911,92,21
"0490307",362,37,10
"0490308",308,21,7
"0490316",137,12,1
"0490318",823,95,23
"0490410",1194,112,33
"0490411",412,119,20
"0490417",991,111,19
"0510113",356,45,4
"0510114",656,219,18
"0510203",199,52,8
"0510204",367,50,11
"0510207",168,83,2
"0510211",481,97,13
"0510215",175,41,5
