CNTYVTD,BrownR_18G_Sup Ct 6,ChengD_18G_Sup Ct 6
"0730014",734,69
"0730015",1155,411
"0730022",230,79
"0730023",526,66
"0730024",650,227
"0730025",413,86
"0730026",390,161
"0730027",495,146
"0730028",296,34
"0730032",390,63
"0730033",714,190
"0730034",705,87
"0730035",459,124
"0730036",822,153
"0730037",128,81
"0730038",117,117
"0730042",111,364
"0730043",297,201
"0730044",696,85
"0730045",268,109
"0730046",361,64
"0730047",170,12
"0730048",311,38
"0750101",343,39
"0750201",419,41
"0750301",321,80
"0750401",442,57
"0770001",401,75
"0770006",193,42
"0770008",376,60
"0770009",235,36
"0770010",149,19
"0770011",436,38
"0770012",165,28
"0770013",77,14
"0770014",95,12
"0770015",168,32
"0770017",502,82
"0770020",248,13
"0770024",165,12
"0770026",100,13
"0770027",219,27
"0770032",134,8
"0790101",130,35
"0790202",196,43
"0790303",36,1
"0790306",106,35
"0790404",64,22
"0810001",310,28
"0810002",339,28
"0810003",291,37
"0810004",219,35
"0830001",706,68
"0830002",519,89
"0830003",563,68
"0830004",740,92
"083002E",208,26
"0850001",909,774
"0850002",1058,1034
"0850003",165,670
"0850004",705,292
"0850005",497,234
"0850006",1698,1520
"0850007",444,381
"0850008",1005,352
"0850009",1668,1146
"0850010",340,79
"0850011",1644,466
"0850012",788,410
"0850013",1784,483
"0850014",672,924
"0850015",427,429
"0850016",1118,474
"0850017",951,581
"0850018",360,93
"0850019",635,411
"0850020",425,124
"0850021",1388,1214
"0850022",1716,390
"0850023",314,859
"0850024",389,759
"0850025",1693,1576
"0850026",480,463
"0850027",835,656
"0850028",776,755
"0850029",671,285
"0850030",1994,1353
"0850031",862,577
"0850032",923,663
"0850033",1587,559
"0850034",1132,1404
"0850035",678,142
"0850036",818,456
"0850037",922,155
"0850038",1885,1945
"0850039",714,893
"0850040",1398,714
"0850041",1625,594
"0850042",660,205
"0850043",1506,1474
"0850044",323,345
"0850045",1026,581
"0850046",572,861
"0850047",783,753
"0850048",1079,1023
"0850049",923,550
"0850050",447,1003
"0850051",276,522
"0850052",633,1366
"0850053",890,584
"0850054",686,968
"0850055",829,1224
"0850056",1991,1207
"0850057",1369,1066
"0850058",988,991
"0850059",1358,897
"0850060",1049,403
"0850061",675,432
"0850062",725,759
"0850063",871,504
"0850064",786,759
"0850065",388,326
"0850066",657,580
"0850067",797,720
"0850068",568,531
"0850069",1337,1091
"0850070",767,471
"0850071",627,534
"0850072",541,393
"0850073",383,592
"0850074",584,528
"0850075",821,422
"0850076",1205,923
"0850077",926,1091
"0850078",874,852
"0850079",728,668
"0850080",1105,941
"0850081",793,894
"0850082",753,676
"0850083",1872,880
"0850084",778,677
"0850085",826,945
"0850086",961,782
"0850087",1760,1978
"0850088",260,775
"0850089",1499,1521
"0850090",1351,699
"0850091",729,637
"0850092",851,833
"0850093",130,18
"0850094",1209,1288
"0850095",908,890
"0850096",272,309
"0850097",707,232
"0850098",429,252
"0850099",71,70
"0850100",7,3
"0850101",1141,915
"0850102",1179,505
"0850103",276,375
"0850104",349,798
"0850105",416,281
"0850106",622,498
"0850107",1082,995
"0850108",819,900
"0850109",1309,869
"0850110",920,758
"0850111",1704,1043
"0850112",1013,822
"0850113",961,821
"0850114",642,190
"0850115",911,958
"0850116",1679,1254
"0850117",1191,1085
"0850118",1596,896
"0850119",1856,1508
"0850120",1333,830
"0850121",613,1044
"0850122",2078,902
"0850123",731,524
"0850124",867,854
"0850125",1338,1570
"0850126",1443,1123
"0850127",1080,991
"0850128",2369,718
"0850129",1278,956
"0850130",1088,1094
"0850131",2231,1204
"0850132",802,878
"0850133",677,578
"0850134A",1339,1457
"0850134B",4,4
"0850134C",0,0
"0850135",1092,1211
"0850136",716,539
"0850137",730,486
"0850138",596,288
"0850139",1063,1334
"0850140",1918,833
"0850141",1069,939
"0850142",921,889
"0850143",778,444
"0850144",939,696
"0850145",442,494
"0850146",1326,1233
"0850147",519,479
"0850148",0,2
"0850149",1387,989
"0850150",384,240
"0850151",428,502
"0850152",12,33
"0850153",1632,1250
"0850154",491,70
"0850155",882,607
"0850156",1147,863
"0850157",1159,1098
"0850158",677,818
"0850159",1336,1390
"0850160",197,22
"0850161",123,64
"0850162",143,23
"0850163",1127,987
"0850164",511,262
"0850165",386,210
"0850166",1238,1058
"0850167",1241,1532
"0850168",809,320
"0850169",871,869
"0850170",657,355
"0850171",1579,1246
"0850172",1119,585
"0850173",295,124
"0850174",1245,937
"0850175",621,353
"0850176",661,998
"0850177",1291,1041
"0850178",961,285
"0850179",2476,723
"0850180",182,111
"0850181",548,293
"0850182",1,3
"0850183",47,8
"0850184",0,0
"0850185",20,13
"0850186",55,5
"0850187",239,32
"0850188",33,6
"0850189",363,50
"0850190",36,8
"0850191",158,41
"0850192",739,205
"0850193",386,91
"0850194",13,3
"0850195",425,91
"0850196",601,387
"0850197",298,407
"0850198",58,16
"0850199",662,193
"0850200",2,1
"0850201",2,1
"0850202",5,3
"0850203",1288,609
"0850204",153,77
"0850205",14,3
"0850206",603,321
"0850207",1288,831
"0850208",582,246
"0850209",254,206
"0850210",434,530
"0850211",1817,1499
"0850212",978,1037
"0850213",934,878
"0850214",1701,419
"0850215",678,285
"0850216",1918,770
"0850217",681,363
"0850218",1066,944
"0850219",904,611
"0850220",817,940
"0850221",1816,856
"0850222",874,888
"0850223",704,440
"0850224",2539,834
"0850225",959,1067
"0850226",1245,1124
"0870101",249,36
"0870201",121,17
"0870202",24,2
"0870301",154,18
"0870302",29,2
"0870401",133,23
"0870402",53,8
"0890101",860,310
"0890102",134,31
"0890103",320,47
"0890201",1325,341
"0890202",277,45
"0890302",609,95
"0890303",335,50
"0890304",269,41
"0890305",795,197
"0890401",157,71
"0890402",624,491
"0910101",1684,737
"0910102",1986,442
"0910103",1899,476
"0910104",1074,295
"0910105A",2628,747
"0910105B",45,13
"0910105C",1,0
"0910105D",0,0
"0910106A",2254,471
"0910106B",136,26
"0910107",1122,314
"0910201",1765,829
"0910202A",425,175
"0910202B",45,18
"0910203A",1864,545
"0910203B",53,16
"0910203C",0,0
"0910204",1795,488
"0910205",2739,920
"0910206",2684,674
"0910207",1383,346
"0910208",1039,260
"0910301",876,905
"0910302",1717,1000
"0910303",216,255
"0910304",1229,808
"0910305",869,392
"0910306",508,312
"0910401",954,381
"0910402",2154,744
"0910403",2651,710
"0910404",1767,487
"0910405",1840,486
"0910406",2259,854
"0910407",1535,414
"0930001",673,111
"0930002",649,116
"0930004",44,14
"0930005",293,47
"0930006",202,31
"0930007",137,22
"0930009",99,14
"0930010",184,34
"0930011",244,64
"0930012",815,192
"0930013",114,20
"0930014",62,12
"0930015",242,26
"0930016",58,1
"0950101",217,40
"0950102",48,11
"0950203",93,2
"0950204",50,12
"0950205",67,15
"0950306",139,49
"0950407",62,0
"0950408",123,33
"0970001",495,202
"0970002",75,25
"0970003",213,42
"0970004",211,52
"0970005",468,149
"0970006",274,27
"0970007",715,120
"0970008",422,58
"0970009",726,82
"0970010",1038,176
"0970011",1096,241
"0970012",413,62
"0970014",170,32
"0970015",131,11
"0970017",288,16
"0970018",1083,105
"0970019",235,30
"0970020",257,43
"0970021",764,52
"0970022",1179,176
"0970026",179,62
"0970027",93,36
"0970028",38,15
"0970030",70,42
"0970031",47,21
"0970033",255,38
"0970034",105,107
"0970035",226,138
"0970037",642,169
"0990101",1484,998
"0990102",643,100
"0990103",160,22
"0990104",1206,705
"0990205",1094,218
"0990206",352,342
"0990207",961,719
"0990308",1654,284
"0990309",304,41
"0990310",210,45
"0990311",27,43
"0990412",884,613
"0990413",961,217
"0990414",232,12
"0990415",120,17
"0990416",546,481
"1010101",159,23
"1010201",139,16
"1010301",65,29
"1010401",86,22
"1030001",288,47
"1030002",233,49
"1030003",148,67
"1030004",148,41
"1050001",194,93
"1050002",212,76
"1050003",247,70
"1050004",184,97
"1070011",183,86
"1070027",288,121
"1070039",216,92
"1070044",300,110
"1090001",62,119
"1090002",72,111
"1090004",54,90
"10903-3",16,10
"10903-5",69,94
"1110001",151,14
"1110002",20,0
"1110003",7,0
"1110004",16,0
"1110005",5,0
"1110006",116,15
"1110007",148,34
"1110008",301,38
"1110009",193,38
"1131000",38,249
"1131001",68,288
"1131002",82,455
"1131003",164,1559
"1131004",532,512
"1131005",584,982
"1131006",777,457
"1131007",220,88
"1131008",253,584
"1131009",93,370
"1131010",191,722
"1131011",56,255
"1131012",102,110
"1131013",970,1449
"1131014",329,877
"1131015",480,1034
"1131016",49,119
"1131017",297,454
"1131018",58,107
"1131019",572,1232
"1131020",371,548
"1131021",408,681
"1131022",641,1813
"1131023",583,782
"1131026",104,257
"1131027",523,1296
"1131028",269,540
"1131029",153,598
"1131030",400,753
"1131032",223,253
"1131033",400,404
"1131035",37,84
"1131036",112,333
"1131037",163,438
"1131038",127,729
"1131039",12,105
"1131040",434,986
"1131041",33,272
"1131042",36,392
"1131043",794,676
"1131044",884,650
"1131045",139,635
"1131046",59,136
"1131047",226,527
"1131048",926,959
"1131049",693,785
"1131050",50,53
"1131051",61,92
"1131052",828,1420
"1131054",173,560
"1131055",93,265
"1131056",220,346
"1131057",277,749
"1131058",359,824
"1131059",507,591
"1131060",1271,1808
"1131061",339,618
"1131062",7,10
"1131063",216,615
"1131064",17,51
"1131065A",202,953
"1131065B",0,0
"1131065C",0,0
"1131067",2,3
"1131068",14,16
"1131069",6,30
"1131070",174,745
"1131071A",532,1228
"1131071B",0,0
"1131073",304,1144
"1131074",98,565
"1131075A",273,785
"1131075B",0,0
"1131076",489,912
"1131077",0,0
"1131078",64,428
"1131079",291,713
"1131080",51,255
"1131081",566,1227
"1131082",14,96
"1131083",147,657
"1131084",365,1544
"1131085",88,469
"1131086",45,140
"1131087A",184,1375
"1131087B",0,0
"1131087C",0,0
"1131087D",0,0
"1131088",153,671
"1131089",66,810
"1131090",142,871
"1131091",151,750
"1131092",143,1183
"1131093",57,622
"1131094",45,518
"1131095",86,518
"1131096",65,508
"1131097",189,879
"1131098",91,759
"1131099",2,19
"1131100",71,1101
"1131101",99,562
"1131102",121,623
"1131103",34,168
"1131104",116,897
"1131105",3,20
"1131106",19,90
"1131107",56,263
"1131108",146,853
"1131109",41,147
"1131110",0,12
"1131111",87,457
"1131112",27,239
"1131113",10,104
"1131114",21,239
"1131115",164,552
"1131116",205,478
"1131117",863,898
"1131118",112,595
"1131119",59,724
"1131120",307,652
"1131121",243,760
"1131122",26,158
"1131124",0,2
"1131125",321,553
"1131126",65,292
"1131127",46,222
"1131128",377,136
"1131129",5,48
"1131130",160,547
"1131131",166,535
"1131132",5,15
"1131133",106,128
"1131134",16,169
"1131135",67,556
"1131136",0,2
"1131137",7,13
"1131138",0,0
"1131139",2,3
"1131140",0,0
"1131141A",0,0
"1131141B",0,0
"1131300",584,704
"1131301",554,748
"1131302",447,768
"1131303",4,38
"1131304",340,442
"1131305",288,441
"1131307",2,67
"1131308A",319,534
"1131308B",0,0
"1131309",7,117
"1131310",570,799
"1131311",629,657
"1131312",214,263
"1131313",26,150
"1131314",319,728
"1131315",5,3
"1131316",80,255
"1131317",0,0
"1131500",446,846
"1131501",607,804
"1131502",724,1345
"1131503",352,978
"1131504",639,691
"1131700",364,638
"1131701",421,549
"1131702",546,858
"1131703",456,882
"1131704",261,444
"1131705",392,635
"1131706",449,887
"1131707",44,156
"1131708",121,192
"1131709",373,1311
"1131710",79,579
"1131711",323,670
"1131712A",586,549
"1131712B",0,0
"1131713",314,252
"1131714",462,530
"1131715",195,510
"1131716",850,531
"1131717",670,1030
"1131718",470,391
"1131719",483,867
"1131720",659,875
"1131721",654,622
"1131722",473,959
"1131723",24,61
"1131724",11,42
"1131725",211,123
"1131726",461,545
"1131727",46,72
"1131728",309,406
"1131729",235,497
"1131730",0,0
"1131731",0,0
"1132000",1,0
"1132001",3,11
"1132002",374,463
"1132003",1060,892
"1132004",773,469
"1132005",331,367
"1132006",643,441
"1132007",1368,782
"1132008",705,404
"1132009",710,726
"1132010",541,468
"1132011",874,567
"1132012",661,545
"1132013",580,311
"1132014",262,113
"1132015",356,344
"1132016",1571,858
"1132017",307,592
"1132018",376,243
"1132019",767,497
"1132020",809,949
"1132021",1744,864
"1132022",301,221
"1132023",473,417
"1132024",537,507
"1132025",1246,619
"1132026",1491,637
"1132027",807,375
"1132028A",0,0
"1132028B",0,0
"1132029",889,339
"1132030",1061,309
"1132031",840,1325
"1132032",408,704
"1132033",598,718
"1132034",695,418
"1132035",418,576
"1132036",925,744
"1132037",327,323
"1132038",963,1241
"1132039",790,1103
"1132040",624,588
"1132041",1693,1192
"1132042",1029,1094
"1132043",737,779
"1132044",362,329
"1132045",627,703
"1132046",776,532
"1132047",890,736
"1132048",869,1342
"1132049",530,556
"1132050",559,535
"1132051",980,743
"1132052",704,309
"1132053",383,922
"1132054",360,1004
"1132055",197,473
"1132056",569,364
"1132057",229,145
"1132058",361,393
"1132059",518,331
"1132060",1173,703
"1132061",1088,885
"1132062",833,707
"1132063",325,203
"1132064",620,711
"1132065",714,1013
"1132066",705,391
"1132067",431,502
"1132068",624,969
"1132069",1026,1061
"1132070",491,480
"1132071",799,649
"1132072",979,1066
"1132073",296,439
"1132074",76,184
"1132076",0,0
"1132077",463,415
"1132078",0,0
"1132079",190,714
"1132200",1024,335
"1132201",898,366
"1132202",1021,347
"1132203",781,342
"1132220",1044,225
"1132221",1934,511
"1132222",1618,462
"1132223",740,391
"1132224",581,588
"1132225",882,319
"1132226",1380,517
"1132300",259,523
"1132301",990,597
"1132302",218,653
"1132303",645,831
"1132305",1034,1144
"1132306",406,443
"1132307",203,232
"1132308",56,119
"1132309",172,332
"1132310",749,626
"1132311",70,141
"1132312",6,24
"1132400",69,22
"1132401",1119,1024
"1132402",854,998
"1132403",2,0
"1132404",403,656
"1132405",1207,1034
"1132406",773,1125
"1132407",880,1234
"1132408",272,517
"1132409",353,808
"1132410",340,581
"1132411",90,261
"1132500",695,984
"1132501",604,383
"1132502",918,429
"1132503",1239,679
"1132504",463,403
"1132505",804,980
"1132506",849,670
"1132507",829,660
"1132508",634,1101
"1132509",1098,862
"1132510",502,563
"1132511",644,625
"1132512",484,454
"1132513",711,961
"1132514",835,817
"1132601",333,776
"1132602",505,1137
"1132603",561,1257
"1132604",538,1094
"1132605",391,1063
"1132606",0,0
"1132700",812,1095
"1132701",1341,1215
"1132702",2100,1146
"1132703",248,367
"1132704",643,1121
"1132705",389,713
"1132706",805,765
"1132707",807,988
"1132708",1336,1271
"1132709",439,337
"1132710",638,750
"1132711",636,772
"1132712",859,1345
"1132713",813,398
"1132714",1118,1453
"1132715",713,903
"1132716",318,541
"1132717",2,0
"1132800",0,0
"1132801",1377,835
"1132802",1663,1162
"1132803",660,272
"1132804",909,643
"1132805",1485,1194
"1132806",927,691
"1132807A",822,700
"1132807B",0,0
"1132808",1084,816
"1132809",778,924
"1132810A",13,2
"1132810B",0,0
"1132900",1057,853
"1132901",236,559
"1132902",392,739
"1132903",520,756
"1132904",2,1
"1132905",230,113
"1132910",14,9
"1132911",70,72
"1132920",1012,1020
"1132921",1393,1144
"1132922",1810,1501
"1132923",1081,950
"1132924",584,578
"1132925",1298,725
"1132926",623,544
"1132927",1567,1546
"1132928",1297,592
"1132929",421,344
"1132940",677,281
"1132941",1633,1102
"1132942",1739,1101
"1133000",890,1231
"1133001",14,173
"1133002",62,583
"1133003",107,901
"1133004",208,1020
"1133005",89,171
"1133006",1064,1102
"1133007",377,373
"1133008A",1015,2661
"1133008B",0,0
"1133009",444,1088
"1133010",109,104
"1133011",142,703
"1133012",16,47
"1133013",63,229
"1133014",267,512
"1133015",41,65
"1133016A",149,713
"1133016B",0,0
"1133017",18,281
"1133018",31,673
"1133019",10,256
"1133020",16,109
"1133021",10,317
"1133022",19,538
"1133023",13,498
"1133024",21,528
"1133025",2,52
"1133026",7,279
"1133027",18,500
"1133028",7,414
"1133029",14,298
"1133030",3,6
"1133031",68,195
"1133032",46,464
"1133033",7,134
"1133034",26,542
"1133035",29,499
"1133036",3,2
"1133037",6,164
"1133038",6,392
"1133039",36,928
"1133040",16,418
"1133041",3,39
"1133042",23,532
"1133043",20,707
"1133044",35,873
"1133045",13,246
"1133046",160,1041
"1133047",229,526
"1133048",45,1084
"1133049",28,818
"1133050",34,678
"1133051",15,316
"1133052",36,910
"1133053",67,911
"1133054",81,1409
"1133055",119,1322
"1133056",77,1292
"1133057",88,1154
"1133058",27,1057
"1133059",13,675
"1133060",19,716
"1133061",13,540
"1133062",32,916
"1133063",89,1559
"1133064",34,1259
"1133065",42,1012
"1133066",37,794
"1133067",38,887
"1133068",82,1625
"1133069",26,706
"1133070",48,1303
"1133071",44,1086
"1133072",3,17
"1133073",4,66
"1133074",39,229
"1133075",10,74
"1133076",0,0
"1133077",370,1473
"1133078",202,1071
"1133079",84,163
"1133080",154,380
"1133081",427,552
"1133082",69,932
"1133083",166,459
"1133084",126,574
"1133086",843,1187
"1133087",0,0
"1133088",8,25
"1133089",6,10
"1133090",207,692
"1133091",0,0
"1133092",38,656
"1133093",0,9
"1133094",0,0
"1133095",0,0
"1133096",0,0
"1133097",1,76
"1133098",2,103
"1133099",8,120
"1133100",321,1023
"1133101",128,358
"1133102",241,1223
"1133103",286,1510
"1133104",599,2253
"1133105",429,1058
"1133106",323,1628
"1133107",188,1272
"1133108",649,755
"1133109",1030,1198
"1133110",251,1479
"1133111",5,20
"1133112",4,12
"1133113",0,4
"1133200",702,748
"1133201",477,571
"1133202",305,961
"1133203",370,833
"1133204",476,874
"1133205",106,860
"1133206",715,798
"1133207",609,890
"1133208",315,645
"1133209",65,52
"1133210",476,666
"1133211",149,452
"1133300",776,794
"1133301",793,755
"1133302",388,430
"1133303",436,945
"1133304",730,771
"1133305",974,1214
"1133306",299,461
"1133307",311,577
"1133308",365,568
"1133309",530,659
"1133310",618,646
"1133311",584,602
"1133312",767,1073
"1133313",894,2009
"1133314",646,1496
"1133315",245,436
"1133316",638,872
"1133317",299,681
"1133318",338,550
"1133400",58,253
"1133401",1,1
"1133402",45,133
"1133404",270,673
"1133405",403,965
"1133406",14,3
"1133407",89,86
"1133408",213,655
"1133409",89,188
"1133410",37,100
"1133411",1,1
"1133500",2143,993
"1133501",5,1
"1133600",248,1038
"1133601",291,1071
"1133602",81,347
"1133603",55,144
"1133604",335,1352
"1133605",257,1448
"1133606",139,1297
"1133607",304,2330
"1133608",117,1714
"1133609",326,1579
"1133610",98,223
"1133611",188,480
"1133612",252,1649
"1133613",109,271
"1133614",60,424
"1133615",155,1288
"1133616",42,316
"1133617",93,1323
"1133618",22,210
"1133619",29,70
"1133620",77,605
"1133621",0,0
"1133700",857,1399
"1133701",970,1265
"1133702",589,738
"1133703",22,9
"1133800",134,2293
"1133801",28,146
"1133802",228,1912
"1133803",141,1782
"1133805",155,2488
"1133806",31,495
"1133807",179,1132
"1133808",687,1487
"1133809",38,146
"1133900",441,2607
"1133920",688,494
"1133921",961,1081
"1133922",5,34
"1133940A",276,645
"1133940B",0,0
"1133950",195,689
"1134000A",52,150
"1134000B",0,0
"1134000C",0,0
"1134001A",114,479
"1134001B",0,0
"1134001C",0,0
"1134002",255,392
"1134003A",19,102
"1134003B",0,0
"1134004",229,670
"1134005",164,343
"1134006A",278,491
"1134006B",0,0
"1134007",59,75
"1134008",30,194
"1134009",84,627
"1134010",329,502
"1134011",92,335
"1134012",15,31
"1134013",116,112
"1134014",770,539
"1134015",178,754
"1134016",200,826
"1134017",87,199
"1134018",283,466
"1134019",225,1105
"1134020",100,411
"1134021",384,2100
"1134022",223,1277
"1134023",1,0
"1134024",86,733
"1134025",7,128
"1134026",4,59
"1134027",18,109
"1134028",19,361
"1134029",1,2
"1134030",2,25
"1134031",56,785
"1134032",404,1463
"1134033",293,893
"1134035",93,524
"1134036",28,326
"1134037",14,79
"1134038",87,911
"1134039",10,228
"1134040",14,296
"1134041",19,297
"1134043",61,550
"1134044",28,419
"1134046",29,461
"1134047",21,333
"1134048",10,2
"1134049",0,0
"1134050",530,1816
"1134051",0,0
"1134052",526,1792
"1134053",39,171
"1134054",24,178
"1134055",214,923
"1134056",121,1033
"1134057",109,647
"1134058",62,399
"1134059",21,163
"1134060",122,823
"1134061",164,847
"1134062",114,674
"1134063",230,1251
"1134065",80,361
"1134066",77,336
"1134067",143,767
"1134068",142,734
"1134069",238,1179
"1134070",83,611
"1134071",17,155
"1134072",14,100
"1134073",184,712
"1134074",297,1314
"1134075",68,384
"1134076",207,989
"1134077",98,503
"1134078",130,710
"1134079",749,2013
"1134080",199,299
"1134081",181,1122
"1134082",47,373
"1134083",100,516
"1134084",26,229
"1134085",65,361
"1134086",167,977
"1134087A",55,314
"1134087B",0,0
"1134088",14,136
"1134090",13,19
"1134091A",0,0
"1134091B",0,0
"1134091C",0,0
"1134092",30,69
"1134093",0,29
"1134094",89,203
"1134095",11,17
"1134096",3,2
"1134097A",140,398
"1134097B",0,0
"1134098",14,20
"1134099",409,292
"1134100",4,11
"1134101",3,34
"1134102",86,97
"1134103",19,73
"1134104",2,11
"1134105",1,7
"1134106",44,56
"1134107",0,26
"1134108",0,23
"1134109",0,19
"1134110",17,383
"1134111",30,99
"1134112",44,18
"1134113",137,750
"1134114",92,632
"1134115",80,155
"1134116",0,0
"1134117",3,11
"1134118",2,5
"1134119",1,1
"1134120",24,205
"1134121",0,0
"1134122",0,0
"1134123",0,0
"1134124",0,0
"1134125",0,0
"1134300",141,519
"1134500",514,833
"1134501",512,711
"1134502",665,1267
"1134503",610,1579
"1134504",266,453
"1134505",417,603
"1134506",265,401
"1134507",44,414
"1134508",86,185
"1134509",401,345
"1134510",299,603
"1134511",306,471
"1134512",302,294
"1134513",329,709
"1134514",333,331
"1134515",221,602
"1134516",3,9
"1134517",1035,812
"1134518A",350,554
"1134518B",0,0
"1134519",762,1141
"1134520",112,301
"1134521",1010,1258
"1134522",596,1129
"1134523",121,209
"1134525",213,444
"1134527",186,476
"1134528",0,0
"1134529",172,254
"1134530",12,89
"1134531",160,134
"1134532",62,81
"1134533",162,360
"1134534",6,35
"1134535",103,253
"1134536",8,18
"1134537",2,3
"1134538",109,288
"1134539",0,0
"1134540",0,0
"1134541",0,0
"1134542",0,0
"1134600",599,631
"1134601",1007,998
"1134602",462,574
"1134603",8,15
"1134604",637,802
"1134605",567,665
"1134606",615,812
"1134607",271,517
"1134608A",581,1072
"1134608B",0,0
"1134609",195,641
"1134610",635,607
"1134611",364,468
"1134612",100,84
"1134613A",76,240
"1134613B",0,0
"1134614",206,98
"1134615",38,74
"1134616",201,344
"1134617",52,51
"1134618",107,150
"1134619",441,325
"1134620",418,472
"1134621",391,1442
"1134622",413,645
"1134623",455,769
"1134624",437,471
"1134625",639,595
"1134626",852,745
"1134627A",1013,1404
"1134627B",0,0
"1134628",173,701
"1134629",199,417
"1134630",461,443
"1134631",370,372
"1134632",236,680
"1134633",119,291
"1134634",826,961
"1134635",232,576
"1134636",0,6
"1134637",685,1292
"1134639",86,217
"1134640",357,937
"1134641",123,158
"1134642",32,41
"1134644",32,133
"1134645",3,2
"1134646",113,109
"1134647",1036,1129
"1134648",227,683
"1134649",8,36
"1134650",0,0
"1134651",4,18
"1134652",117,259
"1134653",8,15
"1134654",200,324
"1134655",34,5
"1134656",11,42
"1134657",6,32
"1134658",16,23
"1134659",35,96
"1134660",9,16
"1134661",102,294
"1134662",38,79
"1134663",0,0
"1134664",411,648
"1150001",364,149
"1150002",423,205
"1150003",604,180
"1150004",532,164
"1150005",72,16
"1150011",66,10
"1150012",26,5
"1150013",53,6
"1150017",41,6
"1170001",423,189
"1170002",420,252
"1170003",1363,316
"1170004",484,257
"1190001",387,50
"1190003",157,57
"1190004",225,52
"1190005",343,71
"1190007",123,21
"1190009",148,12
"1190010",172,55
"1211000",1441,267
"1211001",692,181
"1211002",1866,606
"1211003",1544,370
"1211004A",1184,931
"1211004B",0,0
"1211005",1147,291
"1211006",1430,992
"1211007",1440,1112
"1211008",641,179
"1211009",691,754
"1211010",887,670
"1211011",655,966
"1211012",882,960
"1211013",822,755
"1211014",32,97
"1211015",1004,755
"1211016",1139,728
"1211017",555,331
"1211018",1679,1235
"1211019",749,737
"1211020",1840,852
"1211021",1306,676
"1211022",1227,733
"1211023",1413,705
"1211024A",1021,356
"1211024B",6,2
"1211025",1524,759
"1211026",1243,1831
"1211027A",104,107
"1211027B",169,205
"1211028",615,745
"1211029",1532,1314
"1211030",1744,941
"1211031",984,560
"1211032A",1749,1168
"1211032B",15,10
"1211033",1162,1163
"1211034",1531,1142
"1211035",1743,997
"1211036",2818,1267
"1211037",345,108
"1211038",75,112
"1211039",4,0
"1211040",1090,581
"1211041",759,799
"1211042",84,8
"1211043",93,43
"1211044",1198,1000
"1211045",788,145
"1211046",1288,1029
"1211047",213,125
"1211048",355,102
"1211049",57,72
"1211050",829,557
"1211051",841,493
"1211052",943,703
"1212000",456,1307
"1212001",489,1289
"1212002",795,1591
"1212003",484,661
"1212004",841,1159
"1212005",1485,1198
"1212006",1016,925
"1212007",729,1312
"1212008",902,1135
"1212009",723,723
"1212010",1336,1201
"1212011",902,941
"1212012",829,349
"1212013",607,469
"1212014",1017,704
"1212015",1128,1077
"1212016",1049,1066
"1212017",2194,1335
"1212018",670,981
"1212019",0,0
"1212020A",655,320
"1212020B",1228,602
"1212021",1062,1090
"1212022",1039,662
"1212023",1101,1035
"1212024",634,551
"1212025",688,514
"1212026",1284,851
"1212027",1264,827
"1212028",964,1084
"1212029",625,621
"1212030",1323,1454
"1212031",988,1023
"1212032A",392,378
"1212032B",249,240
"1212032C",6,6
"1212033",713,1027
"1212034",455,748
"1212035",814,864
"1212096",0,0
"1212097",0,0
"1212099",0,0
"1213000",1487,900
"1213001",1436,623
"1213002",2019,889
"1213003",1063,562
"1213004",1422,623
"1213005",984,395
"1213006",1335,954
"1213007",1164,1246
"1213008",1097,685
"1213009",858,644
"1213010",1227,1189
"1213011",914,1286
"1213012",592,490
"1213013",809,668
"1213014",652,599
"1213015",564,709
"1213016A",374,660
"1213016B",0,0
"1213017",434,1183
"1213018",266,321
"1213019",941,1450
"1213020",120,203
"1213021",1217,1187
"1213022",80,52
"1213023",145,118
"1213024",1232,780
"1213025",1557,878
"1213026",980,628
"1213027",1700,1006
"1213028",1693,972
"1213029",886,606
"1213030",981,571
"1213031",1372,719
"1213032",286,603
"1213033",874,500
"1213098",0,0
"1213099",0,0
"1214000",1907,580
"1214001",677,195
"1214002",1714,420
"1214003",2548,708
"1214004",200,941
"1214005",753,820
"1214006",546,944
"1214007",433,1242
"1214008",240,773
"1214009",504,1472
"1214010",445,665
"1214011",736,1903
"1214012",814,657
"1214013",52,175
"1214014",117,869
"1214015",122,287
"1214016",1,1
"1214017",2183,503
"1214018",1022,382
"1214019",114,39
"1214020",519,135
"1214021",952,207
"1214022",1306,398
"1214023A",1505,553
"1214023B",0,0
"1214024",1346,636
"1214025",1286,883
"1214026",592,423
"1214027",1492,945
"1214028",2003,694
"1214029",402,133
"1214030",213,87
"1214031",2052,690
"1214032",2324,912
"1214033",1061,430
"1214034",1489,754
"1214035",1827,680
"1214036",1498,346
"1214037",369,777
"1214038",115,58
"1214039",149,1053
"1214040",366,425
"1214041",561,596
"1214042",14,4
"1214043",1343,455
"1214044",1513,539
"1214045",369,2125
"1214046A",1400,583
"1214046B",5,2
"1214046C",21,9
"1214046D",1,0
"1214047",864,407
"1214048",1520,712
"1214049",807,206
"1230101",678,121
"1230102",151,220
"1230201",228,35
"1230202",472,100
"1230203",442,64
"1230301",675,95
"1230302",503,98
"1230303",190,45
"1230401",978,232
"1230402",629,65
"1250001",61,9
"1250002",54,7
"1250003A",148,20
"1250003B",22,3
"1250004A",82,23
"1250004B",4,1
"1250005",113,10
"1250006",150,33
