CNTYVTD,BrownR_18G_Sup Ct 6,ChengD_18G_Sup Ct 6
"0291099",785,1615
"0291100",458,846
"0291101",0,0
"0291102",229,189
"0291103",127,109
"0291104",622,1000
"0291105",83,152
"0291106",0,0
"0291107",446,655
"0291108",1314,1617
"0291109",2,1
"0291110",827,1366
"0291111",948,1496
"0291112",509,1280
"0291113",509,872
"0291114",0,0
"0291115",41,48
"0291116",285,294
"0291117",54,99
"0291118",580,664
"0291119",11,33
"0291120",5,33
"0291121",1131,1498
"0291122A",998,1247
"0291122B",10,13
"0291122C",19,23
"0291123",120,128
"0291124",96,198
"0291125A",434,574
"0291125B",0,1
"0291125C",8,11
"0291126",0,0
"0291127",47,170
"0291128",207,347
"0291129",97,155
"0291130",0,0
"0291131",0,0
"0291132",0,2
"0291133",1,0
"0291134",0,0
"0291135",0,0
"0291136",56,80
"0291137",0,0
"0291138",58,159
"0291139",128,317
"0291140",199,354
"0291141",315,495
"0291142",229,551
"0291143",649,777
"0291144A",1071,554
"0291144B",67,35
"0291144C",53,27
"0291145",245,169
"0291146",41,33
"0292001",35,208
"0292002",58,371
"0292003",89,565
"0292004",134,762
"0292005",85,357
"0292006",0,5
"0292007",101,490
"0292008",57,300
"0292009",231,591
"0292010",267,417
"0292011",101,586
"0292012",66,405
"0292013",107,396
"0292014",116,400
"0292015",78,488
"0292016",38,333
"0292017",50,281
"0292018",106,428
"0292019",71,466
"0292020",89,715
"0292021",161,743
"0292022",83,429
"0292023",251,997
"0292024",174,549
"0292025",233,877
"0292026",326,760
"0292027",208,502
"0292028",361,883
"0292029",72,349
"0292030",84,411
"0292031",68,430
"0292032",35,166
"0292033",43,171
"0292034",52,217
"0292035",200,641
"0292036",420,683
"0292037",421,431
"0292038",311,514
"0292039",124,563
"0292040",291,801
"0292041",283,946
"0292042",109,473
"0292043",121,563
"0292044",180,601
"0292045",259,919
"0292046",313,892
"0292047",252,638
"0292048",124,527
"0292049",322,894
"0292050",244,627
"0292051",87,175
"0292052",71,315
"0292053",99,408
"0292054",218,892
"0292055",300,960
"0292056",146,461
"0292057",190,661
"0292058",251,658
"0292059",226,673
"0292060",160,470
"0292061",206,342
"0292062",189,384
"0292063A",329,190
"0292063B",368,214
"0292063C",12,7
"0292064",385,747
"0292065",659,1333
"0292066",1057,1140
"0292067",32,132
"0292068",979,1263
"0292069",445,910
"0292070",98,588
"0292071",39,197
"0292072",636,999
"0292073",146,375
"0292074",61,239
"0292075",41,286
"0292076",561,716
"0292077",557,737
"0292078",387,747
"0292079",28,179
"0292080",161,423
"0292081",121,289
"0292082",195,471
"0292083",86,307
"0292084",1159,925
"0292085",171,471
"0292086",719,1002
"0292087",527,529
"0292088",677,1256
"0292089",29,123
"0292090",216,584
"0292091",360,920
"0292092",86,133
"0292093",196,321
"0292094",76,45
"0292095A",659,393
"0292095B",237,139
"0292096",279,701
"0292097",405,784
"0292098",201,390
"0292099",395,493
"0292100",197,380
"0292101",436,354
"0292102",601,822
"0292103",12,88
"0292104",11,90
"0292105",33,183
"0292106",67,157
"0292107",528,850
"0292108",364,338
"0292109",0,3
"0292110",240,358
"0292111",183,331
"0292112",376,544
"0292113",12,22
"0292114",314,685
"0292115",1169,1132
"0292116",0,2
"0292117",41,201
"0292118",0,13
"0292119",26,114
"0292120",254,315
"0292121",87,132
"0292122",155,521
"0292123",559,517
"0292124",179,242
"0292125",1224,1601
"0292126",240,399
"0292127",584,796
"0292128",133,621
"0292129",1,2
"0292130",406,694
"0292131",64,119
"0292132",0,1
"0292133",78,106
"0292134",149,378
"0292135",77,201
"0292136",901,1190
"0292137",197,351
"0292138",177,298
"0292139",455,570
"0292140",221,480
"0292141",292,441
"0292142",69,178
"0292143",479,584
"0292144",341,682
"0292145",87,119
"0292146",8,27
"0292147",80,150
"0292148",487,1145
"0292149",243,594
"0292150",0,3
"0292151",2,7
"0292152",58,201
"0292153",54,105
"0292154A",168,95
"0292154B",109,62
"0292155",1,0
"0292156",170,405
"0292157",0,0
"0292158",0,0
"0292159",38,66
"0292160",6,6
"0293001",1049,790
"0293002",636,680
"0293003",22,19
"0293004",0,1
"0293005",981,435
"0293006",382,317
"0293007",822,723
"0293008",43,18
"0293009",8,2
"0293010",100,175
"0293011",379,308
"0293012",444,179
"0293013",475,603
"0293014",152,166
"0293015",284,320
"0293016",60,66
"0293017A",1090,390
"0293017B",43,15
"0293018",754,488
"0293019",114,207
"0293020",925,841
"0293021",1318,422
"0293022",591,473
"0293023",555,811
"0293024",0,0
"0293025",673,478
"0293026",664,382
"0293027",560,400
"0293028",586,529
"0293029",344,390
"0293030",930,532
"0293031",6,9
"0293032",386,713
"0293033",921,437
"0293034",1477,349
"0293035",221,254
"0293036",741,1258
"0293037",728,892
"0293038",393,388
"0293039",1507,848
"0293040",632,631
"0293041",200,159
"0293042",900,596
"0293043",1144,506
"0293044",488,432
"0293045",671,339
"0293046",539,436
"0293047",690,561
"0293048",524,522
"0293049",920,558
"0293050",409,281
"0293051",161,93
"0293052",1475,1165
"0293053",678,463
"0293054",384,576
"0293055",1357,428
"0293056",355,636
"0293057",210,160
"0293058",649,1037
"0293059",539,425
"0293060",546,594
"0293061",462,561
"0293062",15,11
"0293063",598,600
"0293064",125,149
"0293065",10,26
"0293066",612,591
"0293067",564,467
