CNTYVTD,DevineR_18G_Sup Ct 4,SandillD_18G_Sup Ct 4
"0291099",813,1588
"0291100",476,830
"0291101",0,0
"0291102",237,180
"0291103",128,107
"0291104",627,990
"0291105",80,155
"0291106",0,0
"0291107",448,656
"0291108",1317,1609
"0291109",2,1
"0291110",842,1346
"0291111",964,1477
"0291112",529,1260
"0291113",509,869
"0291114",0,0
"0291115",38,52
"0291116",287,293
"0291117",56,97
"0291118",586,654
"0291119",10,34
"0291120",5,34
"0291121",1156,1469
"0291122A",1018,1222
"0291122B",10,13
"0291122C",19,22
"0291123",116,131
"0291124",99,188
"0291125A",451,555
"0291125B",0,1
"0291125C",9,11
"0291126",0,0
"0291127",48,169
"0291128",204,351
"0291129",98,153
"0291130",0,0
"0291131",0,0
"0291132",0,2
"0291133",1,0
"0291134",0,0
"0291135",0,0
"0291136",57,78
"0291137",0,0
"0291138",54,163
"0291139",135,312
"0291140",197,353
"0291141",325,485
"0291142",234,546
"0291143",663,764
"0291144A",1081,544
"0291144B",68,34
"0291144C",54,26
"0291145",247,165
"0291146",41,33
"0292001",35,206
"0292002",74,357
"0292003",91,569
"0292004",143,753
"0292005",87,356
"0292006",0,5
"0292007",102,491
"0292008",59,295
"0292009",228,591
"0292010",273,410
"0292011",116,568
"0292012",70,400
"0292013",117,388
"0292014",120,395
"0292015",85,477
"0292016",39,332
"0292017",51,282
"0292018",106,427
"0292019",84,455
"0292020",90,714
"0292021",168,737
"0292022",89,420
"0292023",255,992
"0292024",180,540
"0292025",242,865
"0292026",330,754
"0292027",212,498
"0292028",375,862
"0292029",79,343
"0292030",89,408
"0292031",69,424
"0292032",34,165
"0292033",44,169
"0292034",56,211
"0292035",205,634
"0292036",418,682
"0292037",425,427
"0292038",311,511
"0292039",134,554
"0292040",292,799
"0292041",288,942
"0292042",107,473
"0292043",123,560
"0292044",181,598
"0292045",265,908
"0292046",316,886
"0292047",262,628
"0292048",119,530
"0292049",335,877
"0292050",254,613
"0292051",89,173
"0292052",72,316
"0292053",102,404
"0292054",220,884
"0292055",296,965
"0292056",147,461
"0292057",199,653
"0292058",246,657
"0292059",229,671
"0292060",165,460
"0292061",213,336
"0292062",194,379
"0292063A",331,188
"0292063B",372,210
"0292063C",12,7
"0292064",387,744
"0292065",672,1318
"0292066",1082,1115
"0292067",34,130
"0292068",1007,1226
"0292069",457,896
"0292070",105,580
"0292071",45,188
"0292072",660,974
"0292073",147,375
"0292074",63,241
"0292075",44,285
"0292076",575,702
"0292077",582,705
"0292078",407,728
"0292079",25,182
"0292080",166,412
"0292081",127,282
