CNTYVTD,DevineR_18G_Sup Ct 4,SandillD_18G_Sup Ct 4
"0730032",391,61
"0730033",714,188
"0730034",709,82
"0730035",456,131
"0730036",824,148
"0730037",133,77
"0730038",117,118
"0730042",111,365
"0730043",290,206
"0730044",696,83
"0730045",270,105
"0730046",362,63
"0730047",169,12
"0730048",313,36
"0750101",342,40
"0750201",422,38
"0750301",325,81
"0750401",441,59
"0770001",401,74
"0770006",191,42
"0770008",379,59
"0770009",238,35
"0770010",147,21
"0770011",436,39
"0770012",164,28
"0770013",77,14
"0770014",94,12
"0770015",166,33
"0770017",500,84
"0770020",245,16
"0770024",165,13
"0770026",102,11
"0770027",219,27
"0770032",134,7
"0790101",131,34
"0790202",195,41
"0790303",36,1
"0790306",104,36
"0790404",63,24
"0810001",311,28
"0810002",342,26
"0810003",289,39
"0810004",221,33
"0830001",707,69
"0830002",521,88
"0830003",556,75
"0830004",745,90
"083002E",210,27
"0850001",909,772
"0850002",1067,1021
"0850003",164,668
"0850004",705,293
"0850005",498,235
"0850006",1713,1501
"0850007",444,379
"0850008",1007,352
"0850009",1676,1137
"0850010",341,78
"0850011",1633,475
"0850012",792,408
"0850013",1789,478
"0850014",680,919
"0850015",435,421
"0850016",1128,467
"0850017",955,581
"0850018",361,92
"0850019",637,412
"0850020",429,118
"0850021",1391,1210
"0850022",1715,382
"0850023",321,850
"0850024",388,760
"0850025",1703,1559
"0850026",481,465
"0850027",840,653
"0850028",781,747
"0850029",674,283
"0850030",2007,1341
"0850031",864,572
"0850032",920,664
"0850033",1594,555
"0850034",1134,1398
"0850035",679,142
"0850036",829,445
"0850037",920,157
"0850038",1873,1942
"0850039",705,899
"0850040",1394,718
"0850041",1630,593
"0850042",663,199
"0850043",1518,1445
"0850044",329,338
"0850045",1026,579
"0850046",579,852
"0850047",791,749
"0850048",1076,1023
"0850049",916,558
"0850050",454,998
"0850051",279,523
"0850052",637,1366
"0850053",880,592
"0850054",682,968
"0850055",840,1207
"0850056",2000,1190
"0850057",1376,1055
"0850058",981,986
"0850059",1352,898
"0850060",1070,380
"0850061",669,435
"0850062",722,760
"0850063",862,508
"0850064",787,764
"0850065",383,332
"0850066",654,587
"0850067",811,702
"0850068",570,530
"0850069",1334,1092
"0850070",765,467
"0850071",622,534
"0850072",542,388
"0850073",377,595
"0850074",592,520
"0850075",815,425
"0850076",1221,899
"0850077",930,1089
"0850078",855,863
"0850079",726,667
"0850080",1107,940
"0850081",799,892
"0850082",762,666
"0850083",1868,875
"0850084",787,670
"0850085",829,938
"0850086",966,776
"0850087",1773,1971
"0850088",270,770
"0850089",1505,1516
"0850090",1345,700
"0850091",739,633
"0850092",849,833
"0850093",131,17
"0850094",1217,1275
"0850095",908,888
"0850096",275,304
"0850097",706,235
"0850098",431,251
"0850099",73,68
"0850100",7,3
"0850101",1148,903
"0850102",1185,495
"0850103",277,374
"0850104",351,795
"0850105",410,285
"0850106",623,499
"0850107",1079,1001
"0850108",825,893
"0850109",1307,870
"0850110",933,740
"0850111",1715,1030
"0850112",1011,815
"0850113",969,808
"0850114",644,186
"0850115",927,941
"0850116",1695,1233
"0850117",1182,1095
"0850118",1600,889
"0850119",1861,1487
"0850120",1341,819
"0850121",609,1045
"0850122",2090,893
"0850123",740,516
"0850124",874,851
"0850125",1340,1567
"0850126",1437,1123
"0850127",1078,982
"0850128",2358,730
"0850129",1282,953
"0850130",1097,1090
"0850131",2253,1185
"0850132",812,871
"0850133",672,579
"0850134A",1350,1436
"0850134B",4,4
"0850134C",0,0
"0850135",1102,1196
"0850136",722,532
"0850137",734,480
"0850138",594,282
"0850139",1079,1317
"0850140",1916,837
"0850141",1048,954
"0850142",928,884
"0850143",785,436
"0850144",944,691
"0850145",442,495
"0850146",1319,1242
"0850147",524,472
"0850148",0,2
"0850149",1399,975
"0850150",387,236
"0850151",431,499
"0850152",11,35
"0850153",1637,1239
"0850154",491,70
"0850155",889,601
"0850156",1149,856
"0850157",1161,1098
"0850158",682,809
"0850159",1343,1376
"0850160",198,20
"0850161",122,64
"0850162",145,21
"0850163",1129,988
"0850164",503,261
"0850165",393,203
"0850166",1241,1054
"0850167",1231,1535
"0850168",803,325
"0850169",871,862
"0850170",662,351
"0850171",1570,1251
"0850172",1125,575
"0850173",296,121
"0850174",1242,942
"0850175",628,350
"0850176",663,999
"0850177",1304,1029
"0850178",956,289
"0850179",2486,717
"0850180",185,109
"0850181",548,293
"0850182",1,3
"0850183",47,8
"0850184",0,0
"0850185",18,15
"0850186",53,6
"0850187",241,32
"0850188",34,5
"0850189",363,52
"0850190",36,8
"0850191",161,37
"0850192",755,192
"0850193",383,92
"0850194",13,3
"0850195",431,87
"0850196",602,387
"0850197",298,405
"0850198",57,16
"0850199",661,195
"0850200",2,1
"0850201",2,1
"0850202",5,3
"0850203",1296,603
"0850204",155,76
"0850205",14,2
"0850206",606,317
"0850207",1287,832
"0850208",584,240
"0850209",264,198
"0850210",434,531
"0850211",1803,1508
"0850212",974,1047
"0850213",939,868
"0850214",1701,421
"0850215",680,288
"0850216",1933,760
"0850217",678,368
"0850218",1078,931
"0850219",908,606
"0850220",823,931
"0850221",1821,852
"0850222",875,886
"0850223",707,436
"0850224",2532,842
"0850225",950,1069
"0850226",1241,1126
"0870101",252,38
"0870201",122,19
"0870202",20,3
"0870301",150,22
"0870302",29,2
"0870401",131,25
"0870402",53,8
"0890101",855,308
"0890102",134,30
"0890103",317,51
"0890201",1321,338
"0890202",277,46
"0890302",609,95
"0890303",341,43
"0890304",269,41
"0890305",790,200
"0890401",156,72
"0890402",628,489
"0910101",1691,731
"0910102",1989,438
"0910103",1899,472
"0910104",1071,296
"0910105A",2641,734
"0910105B",45,13
"0910105C",1,0
"0910105D",0,0
"0910106A",2247,474
"0910106B",136,26
"0910107",1126,310
"0910201",1773,825
"0910202A",427,172
"0910202B",45,18
"0910203A",1872,537
"0910203B",53,15
"0910203C",0,0
"0910204",1800,481
"0910205",2760,898
"0910206",2693,658
"0910207",1389,340
"0910208",1039,262
"0910301",880,897
"0910302",1713,995
"0910303",220,251
"0910304",1234,798
"0910305",865,392
"0910306",518,301
"0910401",951,383
"0910402",2163,734
"0910403",2648,706
"0910404",1766,486
"0910405",1847,476
"0910406",2263,846
"0910407",1544,406
"0930001",677,104
"0930002",650,114
"0930004",44,15
"0930005",294,47
"0930006",199,33
"0930007",140,21
"0930009",100,13
"0930010",183,35
"0930011",246,63
"0930012",805,201
"0930013",113,21
"0930014",62,12
"0930015",238,28
"0930016",57,1
"0950101",215,40
"0950102",48,10
"0950203",93,2
"0950204",50,12
"0950205",64,19
"0950306",139,48
"0950407",62,0
"0950408",124,32
"0970001",493,207
"0970002",77,23
"0970003",214,41
"0970004",213,49
"0970005",476,142
"0970006",273,27
"0970007",720,115
"0970008",423,58
"0970009",722,84
"0970010",1039,175
"0970011",1096,234
"0970012",409,64
"0970014",167,35
"0970015",130,12
"0970017",289,15
"0970018",1089,97
"0970019",231,33
"0970020",258,41
"0970021",770,46
"0970022",1182,176
"0970026",180,61
"0970027",94,36
"0970028",39,14
"0970030",71,41
"0970031",45,23
"0970033",257,34
"0970034",107,106
"0970035",227,137
"0970037",644,168
"0990101",1492,991
"0990102",644,98
"0990103",160,22
"0990104",1214,694
"0990205",1095,219
"0990206",354,341
"0990207",978,704
"0990308",1640,291
"0990309",303,40
"0990310",208,46
"0990311",28,42
"0990412",896,602
"0990413",968,215
"0990414",227,15
"0990415",121,17
"0990416",570,456
"1010101",157,25
"1010201",138,16
"1010301",63,31
"1010401",87,21
"1030001",288,47
"1030002",230,51
"1030003",148,67
"1030004",147,42
"1050001",198,85
"1050002",215,71
"1050003",245,70
"1050004",190,91
"1070011",180,88
"1070027",288,120
"1070039",215,94
"1070044",299,112
"1090001",66,116
"1090002",71,108
"1090004",55,87
"10903-3",15,10
"10903-5",71,92
"1110001",154,12
"1110002",19,0
"1110003",7,0
"1110004",17,0
"1110005",5,0
"1110006",118,15
"1110007",151,32
"1110008",299,40
"1110009",193,37
"1131000",41,245
"1131001",69,286
"1131002",86,446
"1131003",162,1555
"1131004",539,505
"1131005",581,981
"1131006",765,468
"1131007",216,91
"1131008",265,569
"1131009",90,374
"1131010",185,722
"1131011",56,256
"1131012",102,109
"1131013",976,1439
"1131014",327,879
"1131015",485,1023
"1131016",46,122
"1131017",298,450
"1131018",57,108
"1131019",557,1247
"1131020",369,549
"1131021",412,672
"1131022",644,1808
"1131023",577,780
"1131026",104,255
"1131027",531,1284
"1131028",271,536
"1131029",152,600
"1131030",401,749
"1131032",226,248
"1131033",392,407
"1131035",37,84
"1131036",112,334
"1131037",162,436
"1131038",130,728
"1131039",12,106
"1131040",432,985
"1131041",31,274
"1131042",38,389
"1131043",799,668
"1131044",880,647
"1131045",145,628
"1131046",58,137
"1131047",226,520
"1131048",924,952
"1131049",707,774
"1131050",50,53
"1131051",63,88
"1131052",825,1419
"1131054",174,558
"1131055",94,263
"1131056",220,343
"1131057",271,751
"1131058",359,821
"1131059",496,596
"1131060",1267,1804
"1131061",334,622
"1131062",7,10
"1131063",217,614
"1131064",19,49
"1131065A",207,951
"1131065B",0,0
"1131065C",0,0
"1131067",2,3
"1131068",13,17
"1131069",7,29
"1131070",175,742
"1131071A",529,1225
"1131071B",0,0
"1131073",300,1148
"1131074",103,560
"1131075A",270,786
"1131075B",0,0
"1131076",484,915
"1131077",0,0
"1131078",66,428
"1131079",292,709
"1131080",55,252
"1131081",579,1208
"1131082",16,93
"1131083",150,657
"1131084",376,1534
"1131085",91,468
"1131086",43,142
"1131087A",185,1374
"1131087B",0,0
"1131087C",0,0
"1131087D",0,0
"1131088",167,656
"1131089",72,806
"1131090",137,870
"1131091",152,751
"1131092",140,1186
"1131093",58,622
"1131094",44,518
"1131095",82,522
"1131096",68,503
"1131097",194,876
"1131098",93,756
"1131099",2,18
"1131100",68,1104
"1131101",112,547
"1131102",122,624
"1131103",36,165
"1131104",116,899
"1131105",4,19
"1131106",21,88
"1131107",59,261
"1131108",150,852
"1131109",41,147
"1131110",0,12
"1131111",88,453
"1131112",30,235
"1131113",13,101
"1131114",19,240
"1131115",168,547
"1131116",210,474
"1131117",871,891
"1131118",112,598
"1131119",55,729
"1131120",302,652
"1131121",241,765
"1131122",26,156
"1131124",0,2
"1131125",309,563
"1131126",64,291
"1131127",48,220
"1131128",378,138
"1131129",4,50
"1131130",160,550
"1131131",169,530
"1131132",4,15
"1131133",105,129
"1131134",15,172
"1131135",66,555
"1131136",0,2
"1131137",7,13
"1131138",0,0
"1131139",3,2
"1131140",0,0
"1131141A",0,0
"1131141B",0,0
"1131300",583,701
"1131301",562,735
"1131302",455,756
"1131303",4,38
"1131304",342,441
"1131305",287,436
"1131307",1,68
"1131308A",325,526
"1131308B",0,0
"1131309",9,114
"1131310",569,787
"1131311",633,650
"1131312",217,256
"1131313",27,150
"1131314",314,730
"1131315",5,3
"1131316",82,253
"1131317",0,0
"1131500",441,845
"1131501",607,802
"1131502",731,1336
"1131503",357,974
"1131504",633,693
"1131700",367,631
"1131701",431,539
"1131702",545,851
"1131703",456,875
"1131704",271,431
"1131705",395,634
"1131706",450,880
"1131707",49,151
"1131708",126,187
"1131709",379,1304
"1131710",77,579
"1131711",335,655
"1131712A",593,535
"1131712B",0,0
"1131713",319,247
"1131714",454,534
"1131715",194,511
"1131716",852,528
"1131717",674,1023
"1131718",477,388
"1131719",490,856
"1131720",668,864
"1131721",652,627
"1131722",483,946
"1131723",25,60
"1131724",11,42
"1131725",212,122
"1131726",466,538
"1131727",46,72
"1131728",315,400
"1131729",240,491
"1131730",0,0
"1131731",0,0
"1132000",1,0
"1132001",3,11
"1132002",381,451
"1132003",1064,886
"1132004",775,466
"1132005",335,362
"1132006",639,440
"1132007",1382,766
"1132008",694,414
"1132009",707,730
"1132010",541,467
"1132011",877,561
"1132012",663,536
"1132013",581,309
"1132014",267,109
"1132015",359,338
"1132016",1567,861
"1132017",311,586
"1132018",380,238
"1132019",758,500
"1132020",813,942
"1132021",1755,848
"1132022",304,217
"1132023",473,417
"1132024",528,513
"1132025",1248,620
"1132026",1481,640
"1132027",815,366
"1132028A",0,0
"1132028B",0,0
"1132029",885,337
"1132030",1072,293
"1132031",832,1330
"1132032",411,699
"1132033",596,718
"1132034",692,421
"1132035",422,570
"1132036",929,737
"1132037",324,326
"1132038",967,1233
"1132039",766,1123
"1132040",628,579
"1132041",1700,1179
"1132042",1030,1089
"1132043",756,761
"1132044",359,335
"1132045",638,685
"1132046",768,534
"1132047",897,729
"1132048",882,1323
"1132049",533,552
"1132050",558,534
"1132051",972,744
"1132052",710,304
"1132053",378,926
"1132054",371,988
"1132055",194,476
"1132056",571,354
"1132057",228,144
"1132058",368,384
"1132059",512,336
"1132060",1173,695
"1132061",1073,894
"1132062",836,704
"1132063",323,205
"1132064",619,712
"1132065",696,1033
"1132066",697,398
"1132067",424,505
"1132068",636,954
"1132069",1034,1046
"1132070",486,482
"1132071",787,657
"1132072",961,1077
"1132073",305,435
"1132074",73,186
"1132076",0,0
"1132077",469,406
"1132078",0,0
"1132079",198,705
"1132200",1019,337
"1132201",897,363
"1132202",1024,343
"1132203",780,342
"1132220",1038,227
"1132221",1940,502
"1132222",1615,460
"1132223",734,390
"1132224",585,579
"1132225",883,313
"1132226",1375,513
"1132300",263,519
"1132301",992,592
"1132302",226,640
"1132303",654,813
"1132305",1042,1139
"1132306",409,437
"1132307",205,230
"1132308",53,118
"1132309",174,328
"1132310",752,620
"1132311",68,142
"1132312",5,25
"1132400",69,22
"1132401",1125,1018
"1132402",866,983
"1132403",2,0
"1132404",400,660
"1132405",1222,1009
"1132406",777,1123
"1132407",890,1215
"1132408",278,509
"1132409",352,808
"1132410",347,576
"1132411",94,259
"1132500",695,984
"1132501",591,391
"1132502",922,423
"1132503",1240,672
"1132504",462,404
"1132505",791,984
"1132506",850,664
"1132507",824,664
"1132508",638,1094
"1132509",1088,858
"1132510",507,557
"1132511",646,616
"1132512",486,449
"1132513",709,955
"1132514",835,812
"1132601",339,771
"1132602",506,1133
"1132603",564,1250
"1132604",549,1080
"1132605",383,1064
"1132606",0,0
"1132700",833,1074
"1132701",1346,1205
"1132702",2107,1131
"1132703",253,360
"1132704",645,1110
"1132705",391,709
"1132706",819,749
"1132707",823,962
"1132708",1368,1229
"1132709",441,336
"1132710",644,741
"1132711",646,758
"1132712",873,1327
"1132713",813,395
"1132714",1130,1438
"1132715",717,892
"1132716",325,531
"1132717",2,0
"1132800",0,0
"1132801",1373,826
"1132802",1679,1139
"1132803",666,267
"1132804",925,628
"1132805",1489,1187
"1132806",923,696
"1132807A",834,683
"1132807B",0,0
"1132808",1093,800
"1132809",793,909
"1132810A",13,2
"1132810B",0,0
"1132900",1070,837
"1132901",245,547
"1132902",391,739
"1132903",516,757
"1132904",2,1
"1132905",229,114
"1132910",14,10
"1132911",69,73
"1132920",1014,1012
"1132921",1389,1145
"1132922",1808,1501
"1132923",1093,933
"1132924",584,576
"1132925",1312,711
"1132926",617,546
"1132927",1564,1538
"1132928",1296,595
"1132929",427,338
"1132940",681,275
"1132941",1633,1099
"1132942",1747,1091
"1133000",900,1221
"1133001",12,175
"1133002",60,585
"1133003",107,901
"1133004",210,1018
"1133005",91,169
"1133006",1061,1099
"1133007",379,371
"1133008A",1011,2653
"1133008B",0,0
"1133009",441,1082
"1133010",111,101
"1133011",138,706
"1133012",13,50
"1133013",64,228
"1133014",271,509
"1133015",45,61
"1133016A",155,703
"1133016B",0,0
"1133017",18,281
"1133018",32,673
"1133019",9,256
"1133020",17,108
"1133021",11,317
"1133022",18,538
"1133023",11,500
"1133024",21,528
"1133025",3,51
"1133026",11,278
"1133027",14,502
"1133028",15,406
"1133029",13,298
"1133030",3,6
"1133031",68,193
"1133032",51,458
"1133033",7,134
"1133034",26,542
"1133035",29,497
"1133036",3,2
"1133037",7,163
"1133038",4,393
"1133039",40,925
"1133040",17,416
"1133041",1,41
"1133042",15,540
"1133043",17,710
"1133044",36,871
"1133045",12,246
"1133046",154,1047
"1133047",233,523
"1133048",38,1090
"1133049",26,821
"1133050",38,671
"1133051",14,319
"1133052",38,904
"1133053",65,915
"1133054",78,1411
"1133055",118,1322
"1133056",71,1302
"1133057",93,1150
"1133058",25,1054
"1133059",14,675
"1133060",17,720
"1133061",11,542
"1133062",34,915
"1133063",81,1565
"1133064",37,1253
"1133065",39,1010
"1133066",40,796
"1133067",44,883
"1133068",70,1635
"1133069",24,707
"1133070",42,1307
"1133071",42,1088
"1133072",3,17
"1133073",3,67
"1133074",38,230
"1133075",12,72
"1133076",0,0
"1133077",373,1468
"1133078",193,1079
"1133079",86,160
"1133080",153,379
"1133081",429,547
"1133082",71,928
"1133083",163,463
"1133084",116,586
"1133086",850,1178
"1133087",0,0
"1133088",8,25
"1133089",6,10
"1133090",213,685
"1133091",0,0
"1133092",37,658
"1133093",0,9
"1133094",0,0
"1133095",0,0
"1133096",0,0
"1133097",0,77
"1133098",2,103
"1133099",10,117
"1133100",322,1020
"1133101",131,356
"1133102",246,1217
"1133103",291,1500
"1133104",607,2239
"1133105",427,1058
"1133106",320,1627
"1133107",195,1265
"1133108",663,736
"1133109",1046,1179
"1133110",250,1479
"1133111",7,18
"1133112",5,11
"1133113",0,4
"1133200",694,753
"1133201",482,568
"1133202",305,959
"1133203",370,830
"1133204",482,869
"1133205",103,864
"1133206",721,792
"1133207",611,890
"1133208",321,638
"1133209",66,51
"1133210",478,667
"1133211",155,446
"1133300",796,771
"1133301",801,744
"1133302",383,433
"1133303",432,944
"1133304",727,769
"1133305",983,1203
"1133306",298,461
"1133307",318,573
"1133308",370,560
"1133309",533,654
"1133310",620,645
"1133311",594,591
"1133312",773,1063
"1133313",912,1985
"1133314",644,1495
"1133315",248,431
"1133316",643,867
"1133317",292,685
"1133318",340,548
"1133400",56,254
"1133401",1,1
"1133402",47,131
"1133404",271,670
"1133405",395,974
"1133406",14,3
"1133407",88,87
"1133408",217,652
"1133409",87,190
"1133410",40,97
"1133411",1,1
"1133500",2151,979
"1133501",5,1
"1133600",255,1029
"1133601",293,1070
"1133602",84,343
"1133603",56,142
"1133604",354,1334
"1133605",260,1442
"1133606",139,1298
"1133607",302,2335
"1133608",118,1711
"1133609",334,1567
"1133610",99,221
"1133611",190,479
"1133612",267,1630
"1133613",108,271
"1133614",58,429
"1133615",146,1294
"1133616",42,316
"1133617",90,1319
"1133618",23,210
"1133619",27,72
"1133620",77,602
"1133621",0,0
"1133700",861,1394
"1133701",973,1255
"1133702",589,736
"1133703",23,9
"1133800",131,2293
"1133801",27,146
"1133802",230,1906
"1133803",141,1778
"1133805",154,2486
"1133806",29,496
"1133807",185,1128
"1133808",694,1483
"1133809",37,147
"1133900",451,2598
"1133920",684,492
"1133921",968,1069
"1133922",7,32
"1133940A",281,641
"1133940B",0,0
"1133950",199,683
"1134000A",51,150
"1134000B",0,0
"1134000C",0,0
"1134001A",119,474
"1134001B",0,0
"1134001C",0,0
"1134002",254,392
"1134003A",18,103
"1134003B",0,0
"1134004",228,672
"1134005",170,334
"1134006A",273,491
"1134006B",0,0
"1134007",59,74
"1134008",30,195
"1134009",84,624
"1134010",330,496
"1134011",97,330
"1134012",17,29
"1134013",115,114
"1134014",770,536
"1134015",173,754
"1134016",205,818
"1134017",88,198
"1134018",284,466
"1134019",220,1110
"1134020",100,409
"1134021",399,2086
"1134022",221,1278
"1134023",1,0
"1134024",90,725
"1134025",4,131
"1134026",5,58
"1134027",18,108
"1134028",18,364
"1134029",1,2
"1134030",2,25
"1134031",60,781
"1134032",403,1467
"1134033",286,899
"1134035",90,524
"1134036",29,325
"1134037",13,80
"1134038",88,912
"1134039",7,232
"1134040",13,298
"1134041",17,299
"1134043",61,549
"1134044",24,424
"1134046",34,457
"1134047",18,338
"1134048",10,2
"1134049",0,0
"1134050",534,1812
"1134051",0,0
"1134052",541,1780
"1134053",40,171
"1134054",26,176
"1134055",206,925
"1134056",124,1030
"1134057",112,640
"1134058",62,398
"1134059",26,159
"1134060",125,817
"1134061",163,842
"1134062",124,664
"1134063",244,1238
"1134065",82,357
"1134066",78,335
"1134067",147,765
"1134068",146,726
"1134069",246,1171
"1134070",89,604
"1134071",17,154
"1134072",13,101
"1134073",189,705
"1134074",298,1308
"1134075",69,381
"1134076",213,981
"1134077",98,503
"1134078",126,714
"1134079",751,2005
"1134080",192,305
"1134081",191,1108
"1134082",43,377
"1134083",108,507
"1134084",25,230
"1134085",57,367
"1134086",173,967
"1134087A",59,310
"1134087B",0,0
"1134088",13,138
"1134090",11,19
"1134091A",0,0
"1134091B",0,0
"1134091C",0,0
"1134092",33,65
"1134093",0,28
"1134094",95,195
"1134095",9,19
"1134096",3,2
"1134097A",138,400
"1134097B",0,0
"1134098",15,19
"1134099",407,291
"1134100",4,11
"1134101",3,34
"1134102",86,96
"1134103",17,75
"1134104",2,11
"1134105",1,7
"1134106",45,55
"1134107",0,26
"1134108",0,23
"1134109",0,19
"1134110",15,384
"1134111",29,99
"1134112",45,16
"1134113",137,743
"1134114",95,625
"1134115",82,151
"1134116",0,0
"1134117",3,11
"1134118",2,5
"1134119",1,1
"1134120",27,201
"1134121",0,0
"1134122",0,0
"1134123",0,0
"1134124",0,0
"1134125",0,0
"1134300",139,524
"1134500",521,825
"1134501",518,710
"1134502",674,1256
"1134503",626,1560
"1134504",276,443
"1134505",427,592
"1134506",276,391
"1134507",46,414
"1134508",89,181
"1134509",397,349
"1134510",296,604
"1134511",307,468
"1134512",312,284
"1134513",324,714
"1134514",330,329
"1134515",224,598
"1134516",4,8
"1134517",1051,797
"1134518A",355,547
"1134518B",0,0
"1134519",769,1134
"1134520",113,300
"1134521",1030,1236
"1134522",602,1119
"1134523",120,209
"1134525",216,442
"1134527",187,474
"1134528",0,0
"1134529",173,253
"1134530",15,86
"1134531",161,132
"1134532",61,80
"1134533",164,358
"1134534",7,34
"1134535",103,251
"1134536",10,15
"1134537",2,3
"1134538",114,284
"1134539",0,0
"1134540",0,0
"1134541",0,0
"1134542",0,0
"1134600",605,623
"1134601",1028,970
"1134602",466,569
"1134603",7,16
"1134604",640,796
"1134605",576,653
"1134606",621,807
"1134607",269,519
"1134608A",588,1063
"1134608B",0,0
"1134609",201,635
"1134610",639,600
"1134611",364,469
"1134612",100,84
"1134613A",77,238
"1134613B",0,0
"1134614",214,91
"1134615",39,73
"1134616",204,339
"1134617",52,51
"1134618",109,147
"1134619",433,329
"1134620",427,460
"1134621",396,1432
"1134622",418,642
"1134623",463,760
"1134624",439,462
"1134625",646,585
"1134626",865,729
"1134627A",1011,1407
"1134627B",0,0
"1134628",179,694
"1134629",196,418
"1134630",463,436
"1134631",374,370
"1134632",236,677
"1134633",123,286
"1134634",828,956
"1134635",227,579
"1134636",0,6
"1134637",700,1267
"1134639",87,212
"1134640",362,931
"1134641",119,161
"1134642",33,40
"1134644",32,133
"1134645",3,2
"1134646",111,111
"1134647",1050,1112
"1134648",219,691
"1134649",7,37
"1134650",0,0
"1134651",5,17
"1134652",119,255
"1134653",8,15
"1134654",205,317
"1134655",32,7
"1134656",11,41
"1134657",6,32
"1134658",17,22
"1134659",37,93
"1134660",9,16
"1134661",106,290
"1134662",38,79
"1134663",0,0
"1134664",425,630
"1150001",364,147
"1150002",423,201
"1150003",602,184
"1150004",531,164
"1150005",70,17
"1150011",66,11
"1150012",27,4
"1150013",51,7
"1150017",41,6
"1170001",418,193
"1170002",417,254
"1170003",1356,317
"1170004",479,262
"1190001",386,52
"1190003",156,59
"1190004",227,51
"1190005",344,73
"1190007",120,24
"1190009",148,13
"1190010",173,55
"1211000",1436,268
"1211001",689,183
"1211002",1874,593
"1211003",1543,368
"1211004A",1192,917
"1211004B",0,0
"1211005",1142,295
"1211006",1433,988
"1211007",1456,1095
"1211008",641,180
"1211009",684,755
"1211010",895,653
"1211011",651,968
"1211012",890,951
"1211013",824,751
"1211014",31,98
"1211015",1018,741
"1211016",1136,725
"1211017",556,328
"1211018",1672,1238
"1211019",752,731
"1211020",1858,830
"1211021",1317,664
"1211022",1239,722
"1211023",1419,698
"1211024A",1029,346
"1211024B",6,2
"1211025",1555,727
"1211026",1259,1807
"1211027A",105,105
"1211027B",171,203
"1211028",618,739
"1211029",1542,1310
"1211030",1761,923
"1211031",990,548
"1211032A",1751,1163
"1211032B",15,10
"1211033",1161,1153
"1211034",1549,1119
"1211035",1756,981
"1211036",2858,1224
"1211037",343,110
"1211038",72,115
"1211039",4,0
"1211040",1093,571
"1211041",760,795
"1211042",82,10
"1211043",94,41
"1211044",1214,976
"1211045",785,147
"1211046",1292,1020
"1211047",214,124
"1211048",351,106
"1211049",56,73
"1211050",837,546
"1211051",851,477
"1211052",939,705
"1212000",459,1301
"1212001",501,1277
"1212002",824,1559
"1212003",490,647
"1212004",838,1153
"1212005",1483,1197
"1212006",1021,918
"1212007",746,1293
"1212008",908,1120
"1212009",737,705
"1212010",1327,1208
"1212011",897,935
"1212012",822,355
"1212013",614,460
"1212014",1024,697
"1212015",1141,1058
"1212016",1057,1053
"1212017",2208,1312
"1212018",672,979
"1212019",0,0
"1212020A",657,315
"1212020B",1231,596
"1212021",1072,1073
"1212022",1051,646
"1212023",1104,1025
"1212024",626,556
"1212025",693,502
"1212026",1290,845
"1212027",1276,811
"1212028",962,1087
"1212029",619,627
"1212030",1337,1437
"1212031",999,1009
"1212032A",400,371
"1212032B",254,234
"1212032C",6,6
"1212033",725,1005
"1212034",453,748
"1212035",818,860
"1212096",0,0
"1212097",0,0
"1212099",0,0
"1213000",1498,888
"1213001",1451,609
"1213002",2027,881
"1213003",1069,555
"1213004",1433,606
"1213005",982,400
"1213006",1353,933
"1213007",1172,1233
"1213008",1089,688
"1213009",855,644
"1213010",1232,1179
"1213011",923,1267
"1213012",597,487
"1213013",824,654
"1213014",650,594
"1213015",567,708
"1213016A",377,656
"1213016B",0,0
"1213017",448,1164
"1213018",278,311
"1213019",962,1426
"1213020",118,203
"1213021",1211,1185
"1213022",83,49
"1213023",147,114
"1213024",1236,764
"1213025",1567,863
"1213026",1004,602
"1213027",1695,1002
"1213028",1686,976
"1213029",885,611
"1213030",993,561
"1213031",1381,708
"1213032",294,598
"1213033",882,494
"1213098",0,0
"1213099",0,0
"1214000",1918,562
"1214001",671,197
"1214002",1723,409
"1214003",2573,680
"1214004",222,918
"1214005",760,816
"1214006",533,953
"1214007",445,1225
"1214008",246,765
"1214009",515,1453
"1214010",446,662
"1214011",742,1892
"1214012",814,653
"1214013",49,177
"1214014",116,872
"1214015",121,289
"1214016",1,1
"1214017",2191,497
"1214018",1025,374
"1214019",112,40
"1214020",520,135
"1214021",953,205
"1214022",1311,397
"1214023A",1511,552
"1214023B",0,0
"1214024",1342,640
"1214025",1298,867
"1214026",597,422
"1214027",1485,951
"1214028",2011,683
"1214029",405,131
"1214030",208,90
"1214031",2074,667
"1214032",2351,881
"1214033",1062,431
"1214034",1501,740
"1214035",1831,670
"1214036",1497,344
"1214037",372,770
"1214038",114,57
"1214039",151,1051
"1214040",358,430
"1214041",565,592
"1214042",16,5
"1214043",1325,469
"1214044",1532,519
"1214045",360,2125
"1214046A",1407,575
"1214046B",5,2
"1214046C",21,9
"1214046D",1,0
"1214047",859,410
"1214048",1532,700
"1214049",814,197
"1230101",681,120
"1230102",152,219
"1230201",233,31
"1230202",470,100
"1230203",445,62
"1230301",683,88
"1230302",503,95
"1230303",191,44
"1230401",978,232
"1230402",634,62
"1250001",60,11
"1250002",53,7
"1250003A",150,18
"1250003B",22,3
"1250004A",81,24
"1250004B",4,1
"1250005",110,13
"1250006",155,30
"1270001",245,427
"1270002",179,462
"1270003",51,125
"1270004",27,31
"1270005",77,368
"1270006",139,273
"1270007",71,187
"1290101",121,9
"1290102",168,24
