CNTYVTD,GonzalezD_18G_State Rep 75
"1410124",1046
"1410125",1695
"1410126",1820
"1410128",1802
"1410129",1110
"1410130",1352
"1410131",565
"1410157",617
"1410158",3652
"1410159",571
"1410160",845
"1410161",401
"1410162",1141
"1410163",869
"1410164",1165
"1410165",1151
"1410166",779
"1410167",1102
"1410168",1146
"1410169",1847
"1410170",939
"1410171",1638
"1410172",1176
"1410173",441
"1410180",594
"1410181",737
"1410183",0
