CNTYVTD,NicholsR_18G_State Sen 3,LaytonD_18G_State Sen 3,QuarlesL_18G_State Sen 3
"4050006",147,24,2
"4050007",162,33,0
"4050008",329,30,3
"4050009",444,56,2
"4050010",192,19,3
"4050011",6,154,2
"4070001",1142,312,22
"4070002",1280,321,23
"4070003",535,126,10
"4070004",390,26,5
"4070005",863,121,18
"4070006",970,201,9
"4070007",895,283,13
"4070008",446,129,8
"4070010",273,51,7
"4070013",303,54,4
"4070014",246,100,7
"4190002",385,39,5
"4190003",165,11,0
"4190004",333,53,0
"4190005",917,90,2
"4190006",258,49,4
"4190007",295,114,3
"4190008",372,179,1
"419001N",580,104,6
"419001S",704,155,4
"419001W",204,32,1
"419009N",469,117,5
"419009S",410,76,3
"41901SE",265,332,5
"41901SW",570,81,5
"4550001",274,59,4
"4550002",326,45,2
"4550003",187,43,2
"4550004",122,18,4
"4550005",94,25,2
"4550006",116,14,0
"4550007",130,16,0
"4550008",212,26,2
"4550009",302,40,6
"4550010",138,27,0
"4550011",688,153,15
"4550012",51,11,0
"4550014",263,50,3
"4550015",54,6,0
"4550016",175,53,1
"4550017",259,161,7
"4550018",40,43,0
"4550019",540,112,7
"4550020",28,12,0
"4550021",140,24,3
"4570001",323,63,2
"4570002",254,184,3
"4570003",590,189,15
"4570004",540,90,4
"4570005",57,38,5
"4570006",241,27,1
"4570007",326,27,3
"4570008",108,11,3
"4570009",207,25,1
"4570010",612,80,13
"4570011",57,1,1
"4570013",255,43,2
"4570014",754,91,8
"4570015",420,63,6
"4570016",255,31,3
"4570017",151,76,4
"4570018",591,106,10
